sector_id,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,own,disc,naics,naics_title,repunits,empl,wages
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3113,Sugar and Confectionery Product Manufacturing,50.0,1220.0,61822397.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,38.0,2107.0,107866513.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3115,Dairy Product Manufacturing,34.0,2770.41,159015472.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3116,Animal Slaughtering and Processing,94.0,11168.24,485613119.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,1,3117,Seafood Product Preparation and Packaging,1.0,0.0,0.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3118,Bakeries and Tortilla Manufacturing,202.0,7458.57,309384992.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3119,Other Food Manufacturing,80.0,5742.82,280860870.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3121,Beverage Manufacturing,223.0,6309.89,263840530.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3251,Basic Chemical Manufacturing,15.0,1230.08,69460628.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",32.0,280.41,15809648.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",40.0,1267.33,69888719.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2019,0,0,3332,Industrial Machinery Manufacturing,13.0,539.08,44815708.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3111,Animal Food Manufacturing,91.0,2029.16,114245054.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3112,Grain and Oilseed Milling,30.0,2006.25,164383205.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3113,Sugar and Confectionery Product Manufacturing,50.0,1194.5,66800347.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,37.0,2081.25,113638591.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3115,Dairy Product Manufacturing,35.0,3143.32,194037324.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3116,Animal Slaughtering and Processing,101.0,11465.4,552331334.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3118,Bakeries and Tortilla Manufacturing,202.0,7189.74,331036192.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3119,Other Food Manufacturing,89.0,5998.08,311337924.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3121,Beverage Manufacturing,228.0,4601.82,224586425.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3251,Basic Chemical Manufacturing,14.0,1149.83,72383344.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",41.0,269.41,15820968.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",40.0,1155.16,68476838.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2020,0,0,3332,Industrial Machinery Manufacturing,12.0,538.0,44800240.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3111,Animal Food Manufacturing,90.0,2101.08,125725029.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3112,Grain and Oilseed Milling,33.0,1987.33,166448748.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3113,Sugar and Confectionery Product Manufacturing,52.0,1414.25,79894491.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,37.0,1292.66,74084461.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3115,Dairy Product Manufacturing,34.0,3078.49,188840462.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3116,Animal Slaughtering and Processing,100.0,11060.73,550534070.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3118,Bakeries and Tortilla Manufacturing,211.0,7578.73,359593285.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3119,Other Food Manufacturing,96.0,6975.73,385062732.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3121,Beverage Manufacturing,236.0,5157.49,231352857.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3251,Basic Chemical Manufacturing,15.0,1162.41,77141145.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",41.0,277.91,17633907.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",45.0,1205.5,78116423.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2021,0,0,3332,Industrial Machinery Manufacturing,12.0,558.25,46522857.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3111,Animal Food Manufacturing,93.0,2214.57,141211840.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3112,Grain and Oilseed Milling,32.0,2044.75,179640786.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3113,Sugar and Confectionery Product Manufacturing,49.0,1605.33,88389879.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,40.0,1304.5,80373754.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3115,Dairy Product Manufacturing,37.0,3061.07,193484248.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3116,Animal Slaughtering and Processing,103.0,10948.4,583120267.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3118,Bakeries and Tortilla Manufacturing,228.0,8353.15,402352868.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3119,Other Food Manufacturing,99.0,7709.81,432530759.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3121,Beverage Manufacturing,250.0,5684.32,296578580.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3251,Basic Chemical Manufacturing,16.0,1189.91,81875922.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",42.0,316.74,22515460.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",43.0,1201.16,82436080.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2022,0,0,3332,Industrial Machinery Manufacturing,12.0,571.91,50802463.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3111,Animal Food Manufacturing,93.0,2205.49,146659818.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3112,Grain and Oilseed Milling,36.0,3171.91,290142279.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3113,Sugar and Confectionery Product Manufacturing,48.0,1712.33,106873459.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,39.0,1324.25,84407314.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3115,Dairy Product Manufacturing,36.0,2799.0,189551931.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3116,Animal Slaughtering and Processing,108.0,11451.4,607898356.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3118,Bakeries and Tortilla Manufacturing,243.0,8409.81,407959894.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3119,Other Food Manufacturing,100.0,7645.39,453528908.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3121,Beverage Manufacturing,248.0,6511.66,318013345.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3251,Basic Chemical Manufacturing,16.0,1222.16,87643541.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",39.0,354.41,25787185.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",43.0,1226.08,93704516.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2023,0,0,3332,Industrial Machinery Manufacturing,10.0,595.0,55825143.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3111,Animal Food Manufacturing,92.0,1401.83,97908675.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3112,Grain and Oilseed Milling,37.0,3253.16,301672556.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3113,Sugar and Confectionery Product Manufacturing,50.0,2644.91,139693882.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,40.0,1422.91,89812998.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3115,Dairy Product Manufacturing,38.0,3541.58,239102577.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3116,Animal Slaughtering and Processing,112.0,11866.65,660449997.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,1,3117,Seafood Product Preparation and Packaging,1.0,0.0,0.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3118,Bakeries and Tortilla Manufacturing,252.0,8448.49,423535227.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3119,Other Food Manufacturing,104.0,7435.74,456709937.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3121,Beverage Manufacturing,256.0,5607.08,320145913.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3251,Basic Chemical Manufacturing,15.0,1155.33,82708762.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",30.0,357.33,29123543.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",42.0,1202.5,87555717.0
1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2024,0,0,3332,Industrial Machinery Manufacturing,12.0,618.16,64565283.0
1,Manufacturing,2,Aircraft/Aerospace Manufacturing,0 ,000,00000,United States,2019,0,1,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1041.0,133873.08,15342386389.0
1,Manufacturing,2,Aircraft/Aerospace Manufacturing,0 ,000,00000,United States,2019,0,0,3364,Aerospace Product and Parts Manufacturing,3384.0,535450.98,56064835385.0
1,Manufacturing,2,Aircraft/Aerospace Manufacturing,0 ,000,00000,United States,2020,0,1,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1074.0,134740.41,16364426124.0
1,Manufacturing,2,Aircraft/Aerospace Manufacturing,0 ,000,00000,United States,2020,0,0,3364,Aerospace Product and Parts Manufacturing,3510.0,510679.98,53963952728.0
1,Manufacturing,2,Aircraft/Aerospace Manufacturing,0 ,000,00000,United States,2021,0,1,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1035.0,132403.58,15902690576.0
1,Manufacturing,2,Aircraft/Aerospace Manufacturing,0 ,000,00000,United States,2021,0,0,3364,Aerospace Product and Parts Manufacturing,3700.0,481497.56,52155821063.0
