display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,posting_hourly_wage
2,1,IT/Tech Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,541513,Computer Facilities Management Services ,2,2,21.8461538462
2,1,IT/Tech Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,541519,Other Computer Related Services,2,2,20.0
2,1,IT/Tech Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,611420,Computer Training ,2,2,19.0153846154
2,1,IT/Tech Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,19.0153846154
2,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,28.8
2,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2023,541511,Custom Computer Programming Services ,2,2,26.4
2,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2023,541512,Computer Systems Design Services ,2,2,27.9384615385
2,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2023,541513,Computer Facilities Management Services ,2,2,
2,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2023,541519,Other Computer Related Services,2,2,29.9692307692
2,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2023,611420,Computer Training ,2,2,18.9927884615
2,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,13.1692307692
2,1,IT/Tech Services,,,00,000,34620,Muncie MSA,2023,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2,2,52.8
2,1,IT/Tech Services,,,00,000,34620,Muncie MSA,2023,541511,Custom Computer Programming Services ,2,2,21.9692307692
2,1,IT/Tech Services,,,00,000,34620,Muncie MSA,2023,541512,Computer Systems Design Services ,2,2,21.9692307692
2,1,IT/Tech Services,,,00,000,34620,Muncie MSA,2023,541513,Computer Facilities Management Services ,2,2,30.9538461538
2,1,IT/Tech Services,,,00,000,34620,Muncie MSA,2023,541519,Other Computer Related Services,2,2,29.9692307692
2,1,IT/Tech Services,,,00,000,34620,Muncie MSA,2023,611420,Computer Training ,2,2,48.0769230769
2,1,IT/Tech Services,,,00,000,34620,Muncie MSA,2023,811210,Electronic and Precision Equipment Repair and Maintenance ,2,2,20.9846153846
