year,statefips,metrofips,geo_area,cicp_initiative,jobs14to18,jobs19to21,jobs22to24,jobs25to34,jobs35to44,jobs45to54,jobs55to64,jobs65plus
2023,00,45460,Terre Haute MSA,AgriNovus,110.9514976491208,307.99660031350965,434.58198403331994,1721.3123713925881,1827.4853111638479,2048.8809825221315,1590.12327927098,536.2853089347441
2020,00,31140,Louisville/Jefferson County MSA,AgriNovus,764.3333526750641,1753.0447750224976,3227.1519103021215,16093.116853542662,16901.988093417767,16330.989546889774,14005.368334722874,3612.9623028200317
2023,00,31140,Louisville/Jefferson County MSA,AgriNovus,941.2082958850186,2298.2654148289325,3789.1545797493395,19114.11517066838,20121.54856702235,18234.866414089385,14827.59538019354,4843.244628046756
2021,18,00000,Indiana,AgriNovus,9839.56791836684,16182.021227153191,20333.327638600083,85340.40473935894,86035.79278029916,77342.81473305497,69302.7751523755,24796.282168337028
2019,00,45460,Terre Haute MSA,AgriNovus,114.36480694735762,275.4640896045544,410.1877121394472,1518.4939819906724,1717.2306011398648,1520.6943668574488,1560.4116854513113,361.7833577801904
2020,18,00000,Indiana,AgriNovus,8561.263993629738,15059.285059019072,20661.436840207214,84050.26524763112,84189.28708719087,77614.22950054714,70209.77204310508,22648.792351430726
2019,00,34620,Muncie MSA,AgriNovus,30.240636539396007,47.5521461334392,68.253283948132,342.0007672097696,331.0680335930735,305.1178263451659,354.67628057878574,161.82443778081077
2021,00,21780,Evansville MSA,AgriNovus,377.926793157936,482.6614536885721,823.3689153888923,4327.117775808607,4713.643512014732,3956.9153879279957,4164.724322908332,1080.3339349765322
2022,00,34620,Muncie MSA,AgriNovus,63.920026226687995,106.23323960414797,102.89481022290799,469.1217992248481,431.5915757164906,348.497491117748,459.9183993920999,195.67317440059594
2019,00,33140,Michigan City-La Porte MSA,AgriNovus,112.85502243864399,239.22333834318,307.101992705572,1475.702935486064,1570.2007804995917,1571.98465788262,1338.2011200417876,510.59215677562395
2023,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,10201.817175790899,16299.219499731595,21470.33447497187,102732.84852285964,110823.40433303047,107347.48664368108,94103.64516017181,37708.134790889606
2020,00,34620,Muncie MSA,AgriNovus,32.680714777652,47.602255205575986,91.8089083073032,318.4200188823077,357.4306241493721,303.42070073094266,384.75818019651445,138.11607476633282
2022,00,33140,Michigan City-La Porte MSA,AgriNovus,192.969854757056,455.80947608650814,546.484798991312,2114.114639351985,2075.105152668872,1935.6515942854126,1731.3272625616921,575.8200039732321
2020,00,33140,Michigan City-La Porte MSA,AgriNovus,122.96463763192,285.651347370808,376.43495102504005,1506.776898824124,1618.9134448640675,1548.4442662784957,1368.1758368964643,485.242792013832
2022,00,29200,Lafayette-West Lafayette MSA,AgriNovus,469.5880988532921,957.3251963248521,1116.7845283665238,4056.6462389975277,4949.567255368929,3576.6981448073197,3123.2084910663234,1146.8692913808918
2020,0,00000,United States,AgriNovus,322924.82978533785,662008.7795903236,925358.6275197326,4196484.905223608,4274836.264201314,4094857.5533337286,3601903.5205458254,1419174.5196662208
2019,00,31140,Louisville/Jefferson County MSA,AgriNovus,790.8692668072201,1842.3533922463598,3502.982857941524,16662.692756849177,17206.80024484389,16556.534590289448,14271.780956463133,3544.092023445982
2022,00,21140,Elkhart-Goshen MSA,AgriNovus,456.4060074271442,473.07334545403904,508.440918144792,1948.9178945181764,2037.3479908845081,2007.3937281543758,1875.9948187225243,699.5532919516213
2020,00,29020,Kokomo MSA,AgriNovus,17.369005451432,159.507706700188,150.76421305077997,647.5768103543598,532.563690177116,517.0788223939919,545.0822613669479,126.10768972074798
2019,00,21780,Evansville MSA,AgriNovus,232.04245449349204,438.31047497623206,840.9127094638479,4225.398174020497,4358.2619215928535,4220.483191371331,4000.164905569552,938.3088786071321
2019,00,43780,South Bend-Mishawaka MSA,AgriNovus,405.8765828362563,501.4167879622769,649.3857169902927,2108.650667984023,2150.878276561032,1923.333091052424,1909.0501815839598,606.7020177135383
2021,00,31140,Louisville/Jefferson County MSA,AgriNovus,924.637905796208,1853.5956303114067,3336.4320252186862,17019.9921059775,17592.181090965965,16743.219957891746,14021.375086909708,3752.8430885252874
2019,0,00000,United States,AgriNovus,319041.2445027554,689474.6071531503,977050.6472672793,4363167.513992564,4362086.318963051,4249417.168277446,3659660.6200861987,1399094.0321067504
2022,00,31140,Louisville/Jefferson County MSA,BioCrossroads,47.055880482863074,341.70117372601084,843.779855388704,4755.471827535149,5585.8627564638,5468.064877946529,3737.8079977785114,955.8969942091097
2023,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,21.311846502290944,129.70658230866056,349.56195067450375,1830.0556201465713,1628.1454128761825,1751.1597175881022,1652.319034637359,454.0751181455647
2022,0,00000,United States,BioCrossroads,18153.320744241115,110521.57156970448,302327.07644174976,1691687.288407799,1806634.6088967633,1754749.0015539997,1391218.3645018337,401010.62074691575
2023,00,18020,Columbus MSA,BioCrossroads,4.684923927074412,44.25293683888391,76.50015677041318,305.6333155333552,314.7130968639952,340.9842546296019,251.58180034284862,78.80732376984052
2021,00,34620,Muncie MSA,BioCrossroads,0.0,11.97102386444829,23.323016163391713,47.5357740070544,40.42386429998108,48.23100364445402,48.709639993508816,11.788129695174868
2022,00,21780,Evansville MSA,BioCrossroads,16.384612121872188,75.12308757499169,157.12685744166959,1006.0009797660853,1348.9760494213956,1328.7134163752069,1003.8687069359925,184.0287955254563
2020,00,45460,Terre Haute MSA,BioCrossroads,0.0,22.110168571046895,68.53743588023868,383.41048607560543,583.9723831607732,561.2021844113827,475.52464405526973,87.26427530392836
2019,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,134.81750891962753,849.1011841048488,2774.9731545869613,14094.473396426052,19561.347929963107,23191.217424307142,14574.380346746175,2298.1973781334145
2023,00,21140,Elkhart-Goshen MSA,BioCrossroads,9.325061013865021,51.461469339007195,62.748494647233464,289.35676769885345,305.27048153197325,336.454795535486,242.46743451073857,106.49007838611305
2020,00,23060,Fort Wayne MSA,BioCrossroads,42.788196686325946,228.95082156214124,304.4026712969523,1201.6398400291007,1387.4265640605129,1255.1279328277267,977.3179328713427,293.7861261605059
2023,00,21780,Evansville MSA,BioCrossroads,10.74101038089252,72.85587196383399,154.63242242289294,1166.24506968486,1562.5567400433742,1368.055144103129,1148.1894976170113,227.14565826703563
2022,00,45460,Terre Haute MSA,BioCrossroads,7.027246839927,33.81670160994024,82.43515150181793,382.5110747337253,565.2754025097888,537.361734651045,457.13141888758094,109.53736827183936
2021,00,17140,Cincinnati MSA,BioCrossroads,80.71286225111012,655.6666887728549,2157.7314110503885,9787.135907405158,9592.949337133432,9364.169271531151,7522.112373654644,1828.183452346358
2022,00,17140,Cincinnati MSA,BioCrossroads,109.61950782155962,791.5091054523753,2544.7008370955773,10758.849115655394,10268.70662888952,10040.04738196392,7894.2989465142455,2081.3018235491054
2022,00,23060,Fort Wayne MSA,BioCrossroads,29.78433530834304,232.281615231322,328.5460043177807,1276.7695666578095,1219.2879483973716,1191.5684881906334,956.1378944562496,289.96235078843523
