cicp_initiative,geo_area,statefips,countyfips,metrofips,year,jobs,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2022,11399.203351172013,Non-STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2023,11626.68623167967,Non-STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2025,701.4499511660473,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2027,684.4582499975324,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2019,26295.719493892888,Non-STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2023,3526.1978723632324,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2026,3751.8880849768857,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2026,29808.00175301642,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2022,232226.1060819792,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2027,23373.50389816095,STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2028,23627.842026701404,STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2020,10514.669508976447,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2023,833.6759184489507,STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2024,842.1243119816503,STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2022,1094.0815496501446,STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2023,8266.416611529254,Non-STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2026,1094.7502749361893,STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2027,1107.4303557351486,STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2022,33174.51311245592,Non-STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2028,31652.39474874898,Non-STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2019,14914.001391644611,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2019,3047.4860884212712,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2020,12881.914613910165,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2024,14627.296073465563,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2026,15110.374402808928,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2027,15265.506975966127,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2028,15381.736829397352,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2022,1258777.8089544573,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2023,171591.54858527257,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2024,171047.66769158846,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2024,1265714.4671281818,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2025,1272293.768021053,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2027,1278160.2376954518,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2019,315584.4961070466,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2021,48197.13930322875,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2022,49433.040549048324,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2022,328573.86182761926,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2024,50396.01147353246,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2019,20937.05822150356,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2020,19178.537517076704,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2023,20329.14713448024,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2024,20252.54762584927,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2028,4977.696375908835,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2019,3606.1015031002653,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2020,72451.63907885873,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2021,84094.71337227782,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2022,87734.54354669829,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2025,73965.0539887837,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2019,3701.0689576586533,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2020,34525.44968425327,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2021,35506.80203625505,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2026,3703.653762041945,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2026,37364.8329604924,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2022,7227.653673499541,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2024,7539.403433651562,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2025,70450.9131010917,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2027,7870.096036167728,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2027,71370.05572024443,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2028,71595.46984518421,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2021,103133.4980246626,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2023,111843.8822470303,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2020,42934.478579075316,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2022,43052.41414504952,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2022,308965.59813594946,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2025,320393.09057860763,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2026,325019.02977235283,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2027,328423.7490656911,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2028,48702.2028613296,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2020,1052.4092460297675,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2020,12773.187644184343,Non-STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2021,737.7131926039973,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2023,727.180577395689,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2026,11000.794559388502,Non-STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2028,10465.851015448972,Non-STEM
