statefips,countyfips,metrofips,geo_area,initiative,naics_title,naics_code,n_years,avg_growth,sd_growth,cv_growth,current_jobs
00,000,14020,Bloomington MSA,AgriNovus,Wineries,312130,9,0.7785948696221783,3.639824546268717,4.674863254666682,240.958807951
00,000,14020,Bloomington MSA,AgriNovus,General Line Grocery Merchant Wholesalers,424410,9,12.928449881304806,37.269501455640516,2.8827509715247537,200.755336982
00,000,14020,Bloomington MSA,AgriNovus,Pharmaceutical Preparation Manufacturing,325412,9,6.900301185861896,15.943013974555772,2.3104808826637293,58.8371295374
00,000,14020,Bloomington MSA,AgriNovus,Breweries,312120,9,-5.815330864056324,11.848741911383506,2.0375009072344925,80.7536009303
00,000,14020,Bloomington MSA,AgriNovus,Confectionery Merchant Wholesalers,424450,9,23.045413879344437,41.985500738029344,1.8218592626648755,68.9518336702
00,000,14020,Bloomington MSA,AgriNovus,Crop Production,111000,9,3.6309148105697506,5.768175200315473,1.5886286242585654,69.645249005
00,000,14020,Bloomington MSA,AgriNovus,Sawmills,321113,9,7.4690969030538525,6.973755489398167,0.9336812174102123,115.818245795
00,000,14020,Bloomington MSA,BioCrossroads,Surgical and Medical Instrument Manufacturing,339112,9,1.903017044275769,7.020724749122477,3.689260046430301,5712.29177764
00,000,14020,Bloomington MSA,BioCrossroads,Surgical Appliance and Supplies Manufacturing,339113,9,128.4905507329964,368.8741275029017,2.8708268849234115,54.7467807653
00,000,14020,Bloomington MSA,BioCrossroads,Pharmaceutical Preparation Manufacturing,325412,9,6.9003011858618954,15.943013974555774,2.3104808826637298,2941.85647687
00,000,14020,Bloomington MSA,BioCrossroads,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,9,4.4260685213445425,5.467995169826927,1.2354068048105749,444.02151564356
00,000,14020,Bloomington MSA,BioCrossroads,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,9,4.027066246544066,3.831307137496974,0.9513891510438679,173.190875815791
00,000,14020,Bloomington MSA,BioCrossroads,Biological Product (except Diagnostic) Manufacturing,325414,9,Inf,NA,NA,98.5397900802
00,000,14020,Bloomington MSA,Conexus,"Veneer, Plywood, and Engineered Wood Product Manufacturing",3212,9,1.4649318614354576,8.872270165723888,6.056438800525593,56.5102299305
00,000,14020,Bloomington MSA,Conexus,Specialized Freight Trucking,4842,9,1.4996673991387426,8.302217730845639,5.536039348200537,309.6824947008
00,000,14020,Bloomington MSA,Conexus,Beverage Manufacturing,3121,9,-1.5263128720655308,5.506123417629072,3.607467065502591,321.7124088813
00,000,14020,Bloomington MSA,Conexus,Bakeries and Tortilla Manufacturing,3118,9,-4.405872377891067,15.254832127348115,3.462386292416862,50.5540882262
00,000,14020,Bloomington MSA,Conexus,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",3334,9,140.9218224801725,404.6868979843853,2.871712066038063,116.733695797362
00,000,14020,Bloomington MSA,Conexus,Couriers and Express Delivery Services,4921,9,2.2105857403645666,6.2258688472740715,2.8163887668285197,210.6702327
00,000,14020,Bloomington MSA,Conexus,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,4231,9,8.776955797366204,24.68844235805277,2.8128707638542854,103.0750612458
00,000,14020,Bloomington MSA,Conexus,"Machinery, Equipment, and Supplies Merchant Wholesalers",4238,9,1.8067571127785342,4.690958667377464,2.5963416079560577,150.51914548309
00,000,14020,Bloomington MSA,Conexus,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,4236,9,5.337508778396012,12.04825372907948,2.2572803585533645,102.07203366603
00,000,14020,Bloomington MSA,Conexus,Other Nonmetallic Mineral Product Manufacturing,3279,9,-1.1186885216011757,2.502530284050633,2.23702150842557,245.163273784
00,000,14020,Bloomington MSA,TechPoint,Software Publishers,513210,9,2.9076272083589325,20.67639878771657,7.1110900077821,56.2682290609
00,000,14020,Bloomington MSA,TechPoint,Custom Computer Programming Services,541511,9,-3.7074702499824572,7.472147203089145,2.0154301179151743,256.528291195
00,000,14020,Bloomington MSA,TechPoint,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,334220,9,31.262927098830804,52.64969468214487,1.6840935756176811,130.639979631
00,000,14020,Bloomington MSA,TechPoint,Wired Telecommunications Carriers,517111,9,5.030896398873825,7.303023076324556,1.4516345591929405,276.346363049
00,000,14020,Bloomington MSA,TechPoint,Computer Systems Design Services,541512,9,5.679242186639606,5.895146879477886,1.0380164616585985,178.505412016
00,000,14020,Bloomington MSA,TechPoint,Book Publishers,513130,9,-15.148638222230714,12.587659374766215,0.8309432960313061,54.8125818122
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Lime and Gypsum Product Manufacturing,3274,9,-0.060125599249897466,6.657607381302132,110.72833309538258,581.3021678667
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Miscellaneous Durable Goods Merchant Wholesalers,4239,9,-0.10138091159993776,3.1596299674196655,31.165925789738168,10315.988568179
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Glass and Glass Product Manufacturing,3272,9,-0.21424981586852784,5.47395214663347,25.54939020340864,1608.6933844915
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Other Electrical Equipment and Component Manufacturing,3359,9,0.14486576241043622,3.136872003685362,21.653646462011647,6360.227555494061
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Professional and Commercial Equipment and Supplies Merchant Wholesalers,4234,9,0.0988848830419769,2.0202483058727347,20.430304852715796,27417.231708142
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Industrial Machinery Manufacturing,3332,9,0.2208213668956911,3.7516298794472793,16.98943327897897,4037.8250039564527
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Scientific Research and Development Services,5417,9,-0.09036744955972015,1.4066181023534245,15.565539463674343,16518.267936903
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Other Furniture Related Product Manufacturing,3379,9,0.4546475932708972,6.611389227791112,14.541788685664024,712.894627956
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,Rubber Product Manufacturing,3262,9,-0.40336718649595593,4.850446607227493,12.024891388323484,2384.5033498543
00,000,16980,Chicago-Naperville-Elgin MSA,Advanced & Traded Industries,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",3256,9,0.21331285636181604,2.5149015495681626,11.789732660568982,5505.307996644
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,"Frozen Cakes, Pies, and Other Pastries Manufacturing",311813,9,0.15115296912396753,4.999707614291743,33.07713797002063,552.486557282
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",311514,9,0.5719570617202839,13.205505760105726,23.0882816979081,508.323856341
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",311824,9,-0.49567796920897145,11.14089793478055,22.47608049346993,1167.37314163
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,Poultry and Poultry Product Merchant Wholesalers,424440,9,-0.3451873271074386,6.872359197446795,19.90907156133166,1300.12412247
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,Fats and Oils Refining and Blending,311225,9,0.9297086542424697,16.405379097838267,17.645720541566256,344.170677419
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,Fruit and Vegetable Canning,311421,9,0.1267931461056082,2.033501019517656,16.03794118196198,1179.7771745
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,Frozen Specialty Food Manufacturing,311412,9,0.35662770660891424,4.737480283346608,13.284106073513332,1744.482716
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,Fish and Seafood Merchant Wholesalers,424460,9,-0.5704982571882886,5.9940454139146,10.50668488183709,927.007074648
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,Fluid Milk Manufacturing,311511,9,0.5902359712931196,6.184437081959854,10.477906096456081,1504.26397977
00,000,16980,Chicago-Naperville-Elgin MSA,AgriNovus,Grain and Field Bean Merchant Wholesalers,424510,9,-1.1931154258225947,9.710935156169217,8.139141399059527,673.357646888
00,000,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,Electromedical and Electrotherapeutic Apparatus Manufacturing,334510,9,0.4516123062400813,6.216186104126806,13.764430282867943,1018.44533996
