display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,1986.0440000000003
0,0,Life Sciences Total,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,0,0,1845.0060000000003
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,23767.406
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2019,000000,,0,0,62.699999999999996
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,240.56600000000003
0,0,Life Sciences Total,,,00,000,43780,South Bend-Mishawaka MSA,2022,000000,,0,0,2647.3640000000005
1,6,Bio-Logistics,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,1,1,82.94
1,1,Ag/Bio,,,00,000,21780,Evansville MSA,2020,000000,,1,1,38.0
1,2,Pharma,,,00,000,17140,Cincinnati MSA,2021,000000,,1,1,3916.0
1,1,Ag/Bio,,,0,000,00000,United States,2023,000000,,1,1,52022.0
1,6,Bio-Logistics,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,1,1,54.285999999999994
1,6,Bio-Logistics,,,00,000,34620,Muncie MSA,2022,000000,,1,1,44.55
1,4,Research/Testing,,,18,000,00000,Indiana,2021,000000,,1,1,9335.926
1,1,Ag/Bio,,,00,000,43780,South Bend-Mishawaka MSA,2020,000000,,1,1,2.0
1,6,Bio-Logistics,,,00,000,29020,Kokomo MSA,2022,000000,,1,1,15.536
1,3,MedDev,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,1,1,3730.0
1,2,Pharma,,,00,000,34620,Muncie MSA,2021,000000,,1,1,104.0
1,6,Bio-Logistics,,,00,000,17140,Cincinnati MSA,2023,000000,,1,1,1933.4840000000006
1,2,Pharma,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,1,1,7812.0
1,4,Research/Testing,,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,1,1,2158.5880000000006
1,2,Pharma,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,1,1,5502.0
1,4,Research/Testing,,,00,000,17140,Cincinnati MSA,2023,000000,,1,1,1595.8400000000001
1,4,Research/Testing,,,00,000,34620,Muncie MSA,2022,000000,,1,1,22.834
1,6,Bio-Logistics,,,18,000,00000,Indiana,2023,000000,,1,1,8493.875999999998
1,6,Bio-Logistics,,,00,000,33140,Michigan City-La Porte MSA,2020,000000,,1,1,21.362
1,3,MedDev,,,00,000,17140,Cincinnati MSA,2022,000000,,1,1,2570.0
