year,NAICS,occ
2028,311512,27-1024
2019,333111,25-3041
2027,424410,29-2055
2025,113110,43-4111
2027,311211,47-3015
2027,311313,27-3043
2026,424510,35-2019
2025,424820,51-8011
2027,114119,49-9096
2021,311225,49-9031
2020,311920,53-1041
2026,322110,31-2021
2025,333112,47-4071
2019,424480,43-9199
2023,424520,43-9022
2024,493120,19-3041
2021,111000,43-4051
2020,311351,15-1254
2025,311352,29-2043
2019,325312,15-1211
2026,325411,17-3013
2020,424510,31-2012
2025,424520,13-2028
2022,115113,35-2021
2025,311111,53-7021
2025,311421,13-2082
2022,311511,51-3011
2024,311513,21-1094
2025,311514,43-5031
2026,311930,51-7099
2028,312113,27-2091
2026,321113,29-9092
2023,325314,19-3094
2026,424490,13-2011
2028,424510,11-3111
2025,113310,29-1124
2025,115210,47-2022
2019,311513,51-9022
2023,311520,49-2091
2022,325193,53-5022
2022,113110,49-2098
2027,114119,13-2031
2022,311411,43-3021
2021,311824,13-1074
2028,312230,43-4061
2028,325412,49-9011
2026,493130,51-9192
2021,311111,29-1029
2028,311224,51-9191
2027,311314,43-9061
2028,311821,15-1252
2020,312112,47-4098
2021,312230,17-3011
2027,325193,53-2031
2028,115112,33-3051
2021,311230,11-3013
2020,311314,35-2011
2025,311613,47-2031
2025,311812,51-9083
2028,311821,25-2031
2023,424470,39-5092
2024,113210,39-3012
2028,114111,39-4031
2019,311422,19-2032
2019,325320,27-3099
2020,424410,19-3099
2028,424510,19-4013
2028,424590,33-1021
2019,312140,51-9022
2019,113310,45-3031
2022,311421,41-2012
2020,311512,27-2023
2025,311613,43-3011
2024,312120,49-3052
2023,325412,43-3061
2028,111000,17-2171
2019,113110,13-1041
2027,114119,19-2021
2025,115111,43-5111
2022,311212,31-9097
2025,311225,29-2051
2026,493120,11-3131
2020,311340,53-7063
2023,311423,25-3021
2024,311999,47-2041
2025,333111,45-1011
2020,424420,53-2011
2028,424420,47-2043
2024,111000,13-1121
2021,115113,53-6032
2019,115310,47-2071
2021,311119,19-1031
2023,311211,31-9095
2019,311611,51-2021
2027,311611,11-3071
2028,311830,27-2041
2022,325413,13-2072
2028,424590,43-1011
2023,493130,43-6014
2019,311225,51-4052
2028,311613,19-2011
2020,312112,47-5032
2022,424810,49-2093
2023,112000,33-3052
2028,311213,25-9099
2022,311411,37-3019
2020,311421,19-2031
2019,311911,29-1023
2028,311919,27-1024
2027,333111,47-2071
2027,311119,45-4021
2021,311612,51-6051
2022,311710,19-1012
2020,311812,43-6011
2023,325312,51-4062
2024,424510,29-2092
2024,113110,47-3016
2022,311230,13-2072
2027,493130,15-1252
2022,311613,29-1122
2024,311613,47-2161
2024,311615,47-2031
2027,311830,49-9091
2025,312130,47-2152
2025,333112,17-3023
2025,424410,51-9082
2020,424450,35-2012
2028,114112,53-6031
2025,311911,43-4171
