sector_id,sector_name,statefips,countyfips,year,own,disc,naics,repunits,empl,wages
3,524 - Insurance,28,000,2019,0,0,524298,133.0,321.33,19740983.0
3,524 - Insurance,08,000,2023,0,0,524114,143.0,6940.83,776471369.0
2,522 - Credit Intermediation,45,000,2024,0,0,522110,1330.0,17525.16,1551757318.0
2,522 - Credit Intermediation,51,000,2018,0,0,522390,121.0,3195.66,436222478.0
3,525 - Funds and Trusts,48,000,2020,0,0,525910,54.0,271.08,38028232.0
3,525 - Funds and Trusts,29,000,2021,0,1,525990,2.0,0.0,0.0
3,525 - Funds and Trusts,48,000,2018,0,0,525910,35.0,181.5,26351364.0
3,524 - Insurance,04,000,2023,0,1,524292,253.0,4391.08,359012388.0
3,525 - Funds and Trusts,21,000,2018,0,0,525120,5.0,37.41,1733252.0
2,522 - Credit Intermediation,17,000,2023,0,0,522210,32.0,3426.5,568724156.0
3,523 - Securities and Investments,10,000,2021,0,1,523910,6.0,0.0,0.0
3,524 - Insurance,11,000,2022,0,0,524292,20.0,459.75,52395125.0
3,524 - Insurance,21,000,2022,0,0,524128,43.0,174.75,14887090.0
2,522 - Credit Intermediation,56,000,2023,0,0,522210,6.0,12.83,2257059.0
3,524 - Insurance,11,000,2020,0,0,524128,1.0,1902.83,363668958.0
3,524 - Insurance,02,000,2023,0,1,524114,15.0,0.0,0.0
3,524 - Insurance,41,000,2019,0,0,524130,6.0,13.08,1469738.0
3,523 - Securities and Investments,28,000,2024,0,0,523940,308.0,601.5,68080417.0
3,525 - Funds and Trusts,06,000,2024,0,0,525120,44.0,581.25,97431609.0
2,522 - Credit Intermediation,47,000,2018,0,0,522390,219.0,1593.0,69914300.0
3,523 - Securities and Investments,12,000,2022,0,0,523150,3333.0,27615.0,6834760135.0
3,523 - Securities and Investments,33,000,2018,0,0,523991,13.0,90.91,12457541.0
1,521 - Central Bank,38,000,2018,0,1,521110,1.0,0.0,0.0
2,522 - Credit Intermediation,06,000,2021,0,0,522220,474.0,8401.33,1014611294.0
2,522 - Credit Intermediation,06,000,2021,0,0,522310,2962.0,20984.16,3126317439.0
3,525 - Funds and Trusts,39,000,2020,0,0,525920,105.0,83.25,15471544.0
