display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,jobs
2,1,Ag/Bio,,,00,000,14020,Bloomington MSA,2020,325320,Pesticide and Other Agricultural Chemical Manufacturing,2,2,0.0
2,3,MedDev,,,00,000,21780,Evansville MSA,2019,339113,Surgical Appliance and Supplies Manufacturing,2,2,3.54201811137
2,3,MedDev,,,00,000,29200,Lafayette-West Lafayette MSA,2019,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2,2,1.28101315002
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,76287.63035710235
2,3,MedDev,,,00,000,17140,Cincinnati MSA,2028,334517,Irradiation Apparatus Manufacturing,2,2,143.871443625
2,1,Ag/Bio,,,00,000,34620,Muncie MSA,2019,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,2,2,0.0
2,1,Ag/Bio,,,00,000,33140,Michigan City-La Porte MSA,2022,325315,Compost Manufacturing,2,2,0.0
2,4,Research/Testing,,,00,000,34620,Muncie MSA,2021,621511,Medical Laboratories,2,2,35.5261062888
2,4,Research/Testing,,,18,000,00000,Indiana,2027,541714,Research and Development in Biotechnology (except Nanobiotechnology),2,2,2285.73603909
2,1,Ag/Bio,,,00,000,29200,Lafayette-West Lafayette MSA,2024,325311,Nitrogenous Fertilizer Manufacturing,2,2,0.0
2,2,Pharma,,,00,000,21140,Elkhart-Goshen MSA,2019,325411,Medicinal and Botanical Manufacturing,2,2,0.0
2,3,MedDev,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2026,334516,Analytical Laboratory Instrument Manufacturing,2,2,22.2759491514
2,4,Research/Testing,,,0,000,00000,United States,2019,541380,Testing Laboratories and Services,2,2,20376.2163645
1,6,Bio-Logistics,,,18,000,00000,Indiana,2027,000000,,1,1,16975.57534974975
2,1,Ag/Bio,,,00,000,29020,Kokomo MSA,2021,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,2,2,0.0
1,4,Research/Testing,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,1,1,22096.84327862044
2,2,Pharma,,,00,000,33140,Michigan City-La Porte MSA,2024,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0
2,2,Pharma,,,00,000,18020,Columbus MSA,2026,325412,Pharmaceutical Preparation Manufacturing,2,2,185.406822499
1,2,Pharma,,,00,000,29020,Kokomo MSA,2028,000000,,1,1,0.0
2,2,Pharma,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,325412,Pharmaceutical Preparation Manufacturing,2,2,18120.6766727
2,1,Ag/Bio,,,18,000,00000,Indiana,2026,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,2,2,40.7099699836
2,3,MedDev,,,00,000,43780,South Bend-Mishawaka MSA,2024,339112,Surgical and Medical Instrument Manufacturing,2,2,529.806025328
2,4,Research/Testing,,,00,000,31140,Louisville/Jefferson County MSA,2026,541713,Research and Development in Nanotechnology,2,2,28.516047499388996
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,1695.9685485823732
2,4,Research/Testing,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,621511,Medical Laboratories,2,2,5759.48275725
2,4,Research/Testing,,,00,000,21780,Evansville MSA,2019,621511,Medical Laboratories,2,2,162.791698853
2,4,Research/Testing,,,00,000,14020,Bloomington MSA,2025,541714,Research and Development in Biotechnology (except Nanobiotechnology),2,2,12.405458568
2,3,MedDev,,,0,000,00000,United States,2019,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2,2,71120.6346749
2,2,Pharma,,,00,000,33140,Michigan City-La Porte MSA,2026,325411,Medicinal and Botanical Manufacturing,2,2,0.0
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2025,325412,Pharmaceutical Preparation Manufacturing,2,2,16.787072203
2,3,MedDev,,,18,000,00000,Indiana,2020,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2,2,189.249998877
2,1,Ag/Bio,,,18,000,00000,Indiana,2026,325311,Nitrogenous Fertilizer Manufacturing,2,2,21.9032728529
2,3,MedDev,,,0,000,00000,United States,2019,334517,Irradiation Apparatus Manufacturing,2,2,14631.4120878
1,4,Research/Testing,,,18,000,00000,Indiana,2027,000000,,1,1,11679.64376753422
2,2,Pharma,,,00,000,21780,Evansville MSA,2023,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0
2,2,Pharma,,,18,000,00000,Indiana,2022,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,2972.51549642
2,6,Bio-Logistics,,,00,000,21140,Elkhart-Goshen MSA,2024,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",2,2,27.196420225652098
2,3,MedDev,,,00,000,18020,Columbus MSA,2020,339112,Surgical and Medical Instrument Manufacturing,2,2,0.0
