year,NAICS,occ
2023,334519,29-2061
2022,333242,53-4041
2027,517112,49-9064
2021,334512,47-3012
2026,811210,45-2092
2026,513120,43-5053
2027,334111,17-3022
2021,423430,19-1012
2024,333242,49-2022
2026,334511,29-1223
2026,334516,35-2013
2026,517111,49-3043
2028,334412,47-2071
2027,513110,13-1081
2023,334210,49-9031
2020,334419,17-2011
2021,334412,29-1124
2023,334514,51-9012
2024,334112,27-2099
2028,334417,17-2011
2019,334118,17-3029
2023,423430,37-2021
2026,513199,15-1254
2026,334519,13-1161
2021,541511,21-1012
2021,334419,27-2022
2020,334416,29-9099
2028,513210,41-9099
2025,517112,13-1141
2027,423430,49-3011
2024,334413,49-9094
2022,541511,23-1022
2023,334310,25-9099
2020,541519,29-1124
2019,334290,51-4193
2026,334511,53-3051
2027,334512,51-3021
2023,334513,39-4031
2025,518210,51-4081
2024,517112,35-2021
2028,334515,51-9031
2019,513110,49-3022
2026,334514,29-1292
2021,517810,27-1025
2021,334210,29-2072
2027,334513,27-2031
2023,517410,53-7073
2024,541519,11-2011
2019,517111,39-4021
2026,334512,51-9041
2020,611420,51-9031
2020,334513,17-3012
2024,518210,27-1021
2024,334112,51-9081
2027,334413,51-4081
2027,334310,29-1299
2027,334610,33-9094
2021,513120,41-2021
2027,334513,33-9091
2023,334512,15-1241
2022,334512,51-3093
2021,513120,51-3091
2026,517810,15-1254
2026,334513,49-9031
2022,517810,17-2081
2019,334112,29-2056
2026,518210,31-9099
2028,334417,53-3032
2024,513199,51-4072
2026,334290,49-9097
2026,333242,25-2021
2020,541511,49-3031
2026,541511,11-9151
2028,334510,27-4014
2020,334413,51-4032
2028,334513,47-2221
2026,541511,29-2055
2024,611420,27-3031
2026,517810,51-9022
2020,541519,29-2061
2026,334510,51-5111
2024,334111,43-2099
2021,334111,27-3043
2026,334418,47-3011
2024,541513,33-9094
2027,334310,27-1024
2025,513199,49-9069
2019,334517,19-4051
2020,334118,31-9095
2024,334112,39-4031
2022,334610,39-3092
2028,423430,49-9091
2022,334512,43-3021
2028,541519,29-1161
2028,333242,47-5043
2026,334111,17-3021
2023,334519,51-9081
2026,541512,35-2019
2021,334310,51-6051
2022,334118,35-1011
2028,541512,27-2021
2019,517111,29-1214
2020,334513,29-1241
2023,611420,53-7051
2024,334418,19-4043
2020,513120,29-1022
2025,334519,19-3093
2021,811210,11-9071
2021,518210,39-9032
2027,517810,43-5051
2022,811210,47-2082
2020,517410,29-1125
2019,334118,27-1027
2028,334419,51-4035
2025,334416,49-9096
2022,334516,29-1171
2021,611420,33-3052
2028,334210,51-6051
2022,334220,19-1011
2020,513120,29-2072
2025,334517,19-1042
2027,541511,29-1023
2021,333242,29-1215
2022,334412,19-1022
2020,541513,47-4071
2027,334413,17-2111
2021,334519,11-3061
2024,334417,51-2028
2027,517111,51-6092
2021,334515,17-2199
2020,334412,51-8012
2027,334210,47-4061
2020,334412,47-5013
2027,334417,27-1024
2023,811210,31-9011
2024,541511,51-3011
2019,334412,51-6063
2028,334419,47-2053
2027,517111,49-9081
2022,334310,53-2011
2027,334210,19-1099
2026,517112,49-9063
2020,513110,13-1051
2020,334512,19-4061
2024,334516,23-1023
2019,513110,17-1021
2026,517112,27-1029
2028,334419,41-2021
2019,334511,17-2072
2022,333242,25-4022
2026,334516,51-8012
2022,334515,13-1151
2022,611420,13-2071
2024,334513,29-1124
2024,517810,27-1014
2022,517121,51-9111
2027,334510,51-9198
2024,334515,51-4192
2020,513130,51-7031
2028,517111,19-1021
2028,334517,49-9096
2027,541519,49-3052
2025,517121,29-1171
2021,334111,29-2018
2026,334511,53-2011
2023,517111,35-2014
2022,513110,33-3021
2028,334514,25-3031
2023,513120,13-1111
2020,513210,19-4031
2026,334418,51-4023
2024,334515,47-2082
2022,513130,19-1099
2023,517121,47-2151
2022,541513,53-6051
2028,334111,27-4021
2024,334220,27-2042
2028,334310,53-7062
2023,513199,29-2043
2025,541513,53-7081
2024,334418,35-2011
2026,334416,53-7072
2021,513130,17-3012
2026,334417,27-2011
2028,513130,29-1299
2025,334519,17-3024
2025,541512,27-2023
2020,334118,53-7071
2023,541512,53-6041
2021,334210,29-1022
2020,513199,31-9097
2024,518210,27-2011
2022,541513,41-1011
2020,513110,31-2021
2027,334517,43-6014
2020,334510,19-2043
2019,334516,11-9199
2027,513199,29-1031
2025,334519,41-3091
2023,518210,11-9021
2019,334413,41-2031
2021,334610,51-9021
2027,513130,27-1014
2022,518210,11-9171
2021,334220,49-9041
2022,513120,47-2073
2024,334512,43-3011
2024,611420,29-2051
2020,541513,43-5071
2022,334516,27-4012
2023,334512,17-3011
2028,334419,29-2032
2020,334513,13-2011
2025,333242,49-2093
2027,334511,39-3012
2028,334118,41-9041
2024,334417,11-9171
2027,513110,25-1099
2022,334512,47-2072
2022,517410,17-2031
2019,334290,41-1012
2024,513110,15-1252
2023,513120,13-2028
2027,423430,53-7073
2026,334512,27-1013
2024,334418,51-6042
2023,333242,45-2011
2027,334510,27-1019
2028,334418,17-3022
2019,518210,51-4071
2027,513110,47-3014
2021,541512,29-1151
2026,541519,31-9097
2023,334112,27-1021
2027,334210,15-1241
2028,334412,49-9043
2023,541519,29-2034
2023,334419,39-9011
2027,334111,25-9044
2021,334118,53-2031
2027,517121,33-1012
2028,517121,13-2051
2021,334112,33-9031
2026,517111,47-3011
2023,334510,43-4151
2020,513210,51-9023
2024,334417,11-3121
2025,517111,53-7051
2021,518210,43-3031
2027,541511,53-7051
2021,334412,13-1032
2024,334418,11-9031
2021,334511,11-9111
2022,334310,47-2053
2027,517112,17-3023
2019,334112,17-3025
2025,334510,47-2042
2021,334516,19-4099
2024,334513,29-2061
2026,811210,27-4032
2025,334112,13-2081
