year,NAICS,occ
2024,513130,19-2012
2024,334517,29-2033
2022,334210,19-2041
2026,334118,47-2211
2020,334512,49-3042
2020,513199,51-3091
2019,334118,19-2021
2027,334112,17-2141
2025,333242,43-3041
2022,513120,53-3099
2027,423430,51-4192
2024,517121,49-9021
2024,334210,47-5051
2019,334417,51-9083
2025,513130,35-1011
2024,334515,19-2031
2023,334210,39-3093
2024,334111,11-3013
2019,513210,49-3042
2027,517112,15-1221
2025,517810,51-2041
2022,334111,53-5031
2019,513210,43-2099
2020,334418,39-9032
2020,333242,43-5032
2024,513110,41-9099
2026,334519,17-3021
2020,517111,13-2061
2027,811210,29-1141
2019,611420,53-4041
2024,811210,51-6092
2028,334515,51-9051
2025,513199,49-2094
2021,513130,25-9031
2028,334512,13-1041
2022,541511,27-1022
2024,334412,41-9012
2023,811210,29-9021
2021,517810,51-9141
2027,334418,51-3011
2023,334413,15-1255
2027,517121,27-4012
2028,513120,43-5031
2019,541519,51-3093
2028,513130,27-2091
2023,611420,53-5031
2021,541513,53-7072
2019,334419,47-4011
2022,541512,25-2057
2020,334510,53-7041
2025,334510,43-5052
2027,517121,15-2041
2020,541511,27-3092
2024,334510,37-3011
2023,334118,27-1011
2023,513199,21-1022
2027,541511,19-3092
2020,334111,19-2031
2021,513199,19-2012
2023,334511,49-3042
2027,334413,19-3039
2025,513210,27-2031
2020,334513,49-9044
2020,513210,33-9093
2022,334111,11-9171
2026,333242,39-4012
2021,334610,11-9179
2028,334516,33-3011
2021,334418,51-9161
2020,334412,29-1242
2022,541511,19-3011
2024,334418,47-2131
2019,334510,31-1131
2024,334111,17-2071
2026,334210,47-2031
2025,513210,33-9091
2028,541511,51-6091
2021,517111,43-3041
2026,334220,11-2022
2019,334210,49-9071
2027,334290,49-9096
2025,334610,45-2093
2025,517111,51-7099
2023,334516,13-2011
2022,518210,19-3022
2022,518210,51-8011
2020,517810,47-5051
2024,334112,29-1124
2023,334210,51-4033
2022,334514,47-2131
2027,334519,39-1014
2027,517410,39-4011
2028,541519,45-1011
2020,334419,51-6062
2024,513210,29-1242
2022,423430,19-1042
2021,541512,43-3099
2019,334417,27-1024
2023,334412,25-2052
2025,334210,43-4071
2025,334516,31-9099
2028,518210,53-5031
2025,517121,49-9061
2026,517111,47-4098
2025,541513,39-9032
2021,334417,51-9123
2023,334310,35-1011
2025,334210,51-4033
2023,334290,27-2041
2021,513210,49-2091
2022,517111,39-4012
2020,334413,51-9021
2020,334510,49-2011
2025,517112,33-1099
2026,513130,29-1218
2026,423430,27-3011
2022,334111,19-3051
2028,333242,25-2012
2028,513199,29-1216
2022,517112,29-1243
2021,334519,53-7021
2027,517121,25-4013
2026,334412,37-1012
2025,334517,45-1011
2024,517112,11-9151
2027,513199,29-2032
2028,334112,49-2091
2028,334118,39-6011
2023,334413,53-7031
2020,334118,31-2021
2028,518210,39-2011
2021,334417,11-3071
2027,334413,41-2031
2021,811210,23-1021
2027,333242,51-2031
2023,334511,49-9064
2025,334516,13-2011
2026,517121,31-1132
2028,334416,53-6011
2023,513120,15-1211
2021,517410,49-9097
2024,334511,19-5011
2025,334112,13-1031
2021,513130,11-9121
2028,513130,39-9031
2022,423430,15-1253
2023,811210,33-1012
2025,541511,17-2041
2020,334419,51-9071
2025,517111,29-2056
2019,334210,17-3024
2019,517111,41-3041
2024,423430,43-6013
2021,513110,43-1011
2024,611420,19-2099
2028,517121,43-9051
2027,517121,19-3093
2021,334514,29-2018
2027,513199,19-4012
2020,334515,51-4031
2026,518210,51-9023
2025,517111,51-7011
2025,334517,35-9031
2021,334418,41-9031
2028,334413,31-2011
2021,334118,43-5021
2024,334512,15-2051
2028,541519,29-2042
2022,333242,21-2021
2019,541519,39-3031
2028,334210,19-3032
2026,334310,43-5052
2021,334513,29-1216
2024,334511,51-4193
2025,541513,25-3041
2028,611420,39-3031
2021,517810,53-2011
2028,334419,43-4061
2019,334511,27-1027
2025,334510,49-2021
2019,334610,53-3052
2022,513210,51-9012
2028,334512,29-1029
2023,541511,27-1014
2020,513199,19-4021
2019,334517,53-7071
2025,518210,27-1024
2019,334513,51-8031
2024,513199,43-5031
2028,423430,41-9031
2026,541519,47-2031
2019,541511,49-9062
2019,334412,13-2072
2028,513199,11-9131
2019,334512,23-1012
2019,334310,37-3013
2021,334510,21-2011
2027,334515,51-8031
2022,513210,29-1249
2028,334519,27-3042
2027,517121,43-2021
2021,517121,49-9045
2028,334413,37-2012
2026,518210,39-5094
2020,541513,47-4061
2024,334413,29-2032
2024,334417,27-4014
2028,517111,11-9111
2025,334511,51-6051
2019,334412,51-4194
2019,334416,49-2021
2020,334310,35-1011
2022,513110,53-3052
2026,518210,37-2012
2028,541512,11-9121
2025,541519,47-5051
2019,513210,51-9193
2023,334417,25-4022
2019,517112,37-2012
2024,334516,21-1099
2021,517810,29-1131
2027,541519,53-2022
2022,334290,43-5061
2027,334610,13-2061
2023,811210,29-2061
2023,334417,17-2081
2020,334417,51-4032
2025,334515,19-3094
2027,334514,43-4071
2020,513120,49-3052
2028,334417,27-2031
2027,334513,19-4042
2028,517410,29-1011
2022,334419,29-1291
2026,334118,39-3021
2019,334510,21-2099
2025,334112,27-2032
2021,513110,53-3052
2023,541512,29-1161
2024,513210,29-9099
2020,513210,17-2111
2028,423430,19-5011
2027,334118,11-2021
2023,334510,47-5023
2024,513110,43-3011
2024,334512,15-2031
2028,611420,25-3031
2025,334210,27-4021
2026,334517,51-8021
2023,517410,45-4029
2026,541512,13-2031
2028,334512,35-1011
2023,334290,53-4022
2019,334610,53-1047
2019,513199,39-9032
2028,334512,21-2011
2027,334220,31-9091
2023,541512,19-2099
2026,334220,49-3022
2025,334413,11-9131
2024,513130,53-7065
2024,334413,51-7021
2023,334511,33-9021
2020,513110,55-9999
2021,513110,31-2012
2026,334517,43-6013
2026,517810,29-2031
2023,541513,49-9045
2025,334112,19-2041
2026,513120,27-3091
2023,334516,37-3011
2021,334519,51-8031
2028,611420,11-9171
2027,541513,21-1023
2028,334416,51-5111
2028,334419,33-1011
2021,518210,39-3021
2027,513210,47-2231
2025,423430,43-9022
2024,517121,21-1013
2023,423430,53-6021
2019,334514,47-2072
2028,513120,29-2035
2023,811210,41-2031
2026,334412,31-9095
2019,541513,19-4021
2022,334310,19-1013
2026,334112,51-9022
2023,334519,29-1124
2025,541513,31-1133
2028,541511,49-2022
2022,541511,45-2011
2024,541512,33-1011
2020,333242,49-2097
2027,334511,11-9111
2027,334290,51-8091
2022,334610,17-2072
2028,334210,49-9011
2028,334516,11-9013
2027,517121,11-9072
2028,334310,51-6031
2021,517111,35-2015
2027,333242,25-2022
2026,334220,11-9161
2022,334516,47-2081
2027,517121,17-3012
2021,334515,21-1022
2021,611420,51-9161
2023,334290,51-9083
2022,334517,17-3027
2021,513130,47-2072
2022,334515,19-4051
2020,334513,25-4013
2023,334310,21-1012
2023,334220,29-9091
2020,334610,11-3111
2020,541519,31-1128
2022,334210,33-9099
2019,513110,27-1013
2026,517410,19-1099
2026,517121,43-2021
2019,334416,29-1214
2027,517111,41-9031
2022,334512,43-4199
2019,334517,53-7073
2022,517112,41-3041
2023,334514,31-1128
2023,334412,31-9099
2024,513110,23-1021
2019,334610,53-3054
2027,334512,51-4033
2021,518210,31-9092
2020,541513,53-2012
2022,541512,27-3092
2024,334419,51-4121
2023,334118,11-3031
2026,334510,41-3021
2020,541513,19-3091
2023,513210,23-1023
2027,334610,51-1011
2024,334111,47-2082
2026,334118,53-7061
2019,611420,15-2031
2024,517121,43-3061
2026,334112,13-2053
2027,334519,19-1011
2027,517410,11-9031
2027,541513,39-4031
2026,518210,27-1012
2023,518210,27-2099
2021,518210,53-2011
2021,334310,43-3031
2026,334513,51-4033
2020,811210,51-3023
2021,334517,27-1027
2027,541519,39-7018
2023,334513,51-4062
2023,334513,11-9032
2027,334517,27-2032
2024,513110,47-2051
2022,333242,51-4199
2020,513130,29-9093
2028,334418,47-3015
2024,334419,53-1047
2020,334111,13-1121
2021,334210,13-1121
2023,334118,49-9095
2026,334418,29-2061
2019,334413,49-2093
2020,517111,11-3131
2025,334517,53-6021
2027,541511,43-4121
2022,334418,43-3031
2021,513120,49-3051
2026,334517,49-3091
2019,517121,37-3013
2021,423430,17-2131
2019,423430,19-5011
2023,518210,19-3011
2022,334510,51-4072
2027,334514,51-6021
2022,334418,29-1214
2026,541513,11-1031
2019,517810,47-2021
2019,811210,43-2099
2023,334418,33-9031
2027,333242,13-2071
2022,334610,17-2031
2028,513199,21-2021
2020,334512,29-2072
2028,513130,51-9123
2023,334519,23-1022
2024,334418,55-9999
2020,334512,49-9063
2025,334210,17-3031
2026,334513,29-1243
2023,334290,49-9044
2021,334610,27-3091
2019,513110,27-2023
2027,541512,43-3011
2022,334118,29-2035
2019,513199,49-9098
2028,513130,47-2211
2024,334310,53-1047
2023,334516,49-9012
2022,423430,21-1021
2027,334220,39-3091
2021,513110,23-2011
2020,334519,47-4041
2024,333242,51-6011
2024,423430,27-3091
2019,334290,13-2041
2027,334290,31-1132
2019,517410,13-1041
2025,333242,19-3039
2021,513110,13-2072
2026,334310,51-9124
2021,334290,19-3033
2021,541519,29-1021
