year,statefips,metrofips,geo_area,cicp_initiative,females,males
2023,00,31140,Louisville/Jefferson County MSA,Healthcare,188138.43788999197,46220.130116619046
2022,00,14020,Bloomington MSA,Advanced and Traded Industries,26154.941735036395,31159.657918769743
2023,00,21780,Evansville MSA,AgriNovus,5607.296152323009,13143.305637177733
2020,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,161419.43045136228,281152.2494118367
2022,00,18020,Columbus MSA,AgriNovus,1045.8419254530884,2015.574580806368
2021,00,23060,Fort Wayne MSA,BioCrossroads,1812.432365085885,3059.294710162227
2024,00,18020,Columbus MSA,BioCrossroads,633.1936707442624,689.735891063991
2020,00,34620,Muncie MSA,BioCrossroads,166.4393170585331,116.5295384958841
2024,00,21140,Elkhart-Goshen MSA,TechPoint,1322.144386916922,1883.4163892319452
2023,00,21780,Evansville MSA,Finance,7628.314970695829,4300.491491281765
2022,00,23060,Fort Wayne MSA,Finance,18736.18713378607,11271.568435375917
2023,00,34620,Muncie MSA,Finance,3073.3172310360533,1444.0608716632673
2024,00,29200,Lafayette-West Lafayette MSA,Finance,3917.4481320255095,2131.6592671359545
2020,00,21140,Elkhart-Goshen MSA,Healthcare,21461.74695397801,4862.405745141145
2021,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,13230.976814063913,23928.55571583079
2021,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,1601513.162786269,2504395.6309690056
2020,00,34620,Muncie MSA,AgriNovus,479.5810680402607,1317.9923946150864
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,44434.836342311224,48895.53443995218
2024,18,00000,Indiana,BioCrossroads,94211.55463704209,115787.45822158881
2021,00,21140,Elkhart-Goshen MSA,Conexus,101238.30869230125,228643.02039685898
2023,00,31140,Louisville/Jefferson County MSA,Conexus,219573.6764343383,497161.802771114
2021,00,21140,Elkhart-Goshen MSA,TechPoint,1399.4557009861799,1581.4320942072507
2021,00,29200,Lafayette-West Lafayette MSA,TechPoint,1210.13725517781,2490.5858061219783
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,30926.43487462194,62509.49901676487
2021,00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,95248.04574697089,59859.20534322446
2024,00,21780,Evansville MSA,Healthcare,49265.63919734311,10340.896900992178
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,422067.87931889296,641264.3747948955
2021,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,41671.52255378151,67834.03629745588
2021,00,31140,Louisville/Jefferson County MSA,BioCrossroads,9711.05912294872,9434.839228318526
2024,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,148266.4364116479,260742.51411233118
2022,00,17140,Cincinnati MSA,Advanced and Traded Industries,429256.8919908908,691640.7726009565
2022,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,178674.02939273606,296239.0571223779
2024,00,43780,South Bend-Mishawaka MSA,AgriNovus,3387.326808782271,6944.979264703532
2020,00,18020,Columbus MSA,AgriNovus,1149.787812393376,2311.1725938408163
2022,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,109048.41191223603,119814.47915940487
2024,00,17140,Cincinnati MSA,Conexus,270264.70710971375,643061.0308291977
2023,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,78258.37179613195,165754.01752437255
2021,00,45460,Terre Haute MSA,Advanced and Traded Industries,13788.301320895544,32042.983703814483
