statefips,metrofips,geo_area,cicp_initiative,sector,Year,jobs,wages
00,33140,Michigan City-La Porte MSA,BioCrossroads,Total,2021,286.9188741501545,66960.43104191871
00,21780,Evansville MSA,Conexus,Total,2022,29698.788790826206,84015.10092459532
00,23060,Fort Wayne MSA,Conexus,Total,2019,56002.109728931784,
00,29200,Lafayette-West Lafayette MSA,Conexus,Total,2019,25439.730351692448,
00,31140,Louisville/Jefferson County MSA,Finance,Total,2023,38375.66989983796,117810.79042243808
00,33140,Michigan City-La Porte MSA,Finance,Total,2021,845.0388432473188,77396.74661436037
00,16980,Chicago-Naperville-Elgin MSA,Finance,Total,2019,239472.41998996894,
00,45460,Terre Haute MSA,AgriNovus,Total,2021,1604.469633041924,62434.34279359719
00,45460,Terre Haute MSA,AgriNovus,Total,2019,1525.20729499629,
00,29020,Kokomo MSA,BioCrossroads,Total,2021,116.09335916248776,62795.63332197096
0,00000,United States,Conexus,Total,2022,24403368.706812736,94658.21235276881
00,17140,Cincinnati MSA,TechPoint,Total,2022,28218.190826528386,125482.9465099754
00,29020,Kokomo MSA,Advanced and Traded Industries,Total,2020,13840.771553389302,89159.41269225722
00,34620,Muncie MSA,Advanced and Traded Industries,Total,2021,9149.241283806365,74152.09458316563
00,29200,Lafayette-West Lafayette MSA,Finance,Total,2022,2038.0344078559585,87055.68417321294
00,17140,Cincinnati MSA,Finance,Total,2020,56706.374819741424,114563.43882889303
00,14020,Bloomington MSA,Healthcare,Total,2020,7925.7085764493095,72157.73070624542
00,23060,Fort Wayne MSA,Healthcare,Total,2019,30550.0718400746,
00,23060,Fort Wayne MSA,AgriNovus,Total,2022,5128.127947911535,60817.93414728768
00,43780,South Bend-Mishawaka MSA,AgriNovus,Total,2022,2518.4932633599974,59647.86977891014
00,17140,Cincinnati MSA,BioCrossroads,Total,2020,12431.937027039137,115732.4594848577
00,14020,Bloomington MSA,BioCrossroads,Total,2019,7475.106372987087,
00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,Total,2020,201827.3934761448,86345.36976227806
0,00000,United States,Finance,Total,2023,6731655.435498108,154154.38310829058
00,21780,Evansville MSA,Finance,Total,2019,3513.5112894226704,
00,14020,Bloomington MSA,Finance,Total,2019,1702.5370555101101,
00,29200,Lafayette-West Lafayette MSA,Healthcare,Total,2019,9872.096499158382,
00,18020,Columbus MSA,AgriNovus,Total,2023,870.111673171814,72132.05035912934
00,45460,Terre Haute MSA,BioCrossroads,Total,2023,555.1990170094297,110090.81140654621
00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,Total,2022,36866.946472110794,83588.14156466768
00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,Total,2020,238201.74929646504,87749.02137673099
00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,Total,2022,254237.10351050095,94188.10810143074
00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,Total,2023,253925.80924891794,98625.4505932025
00,21140,Elkhart-Goshen MSA,Finance,Total,2020,1870.9496290562631,80254.62652213735
00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,Total,2019,51570.67256962826,
00,29200,Lafayette-West Lafayette MSA,Finance,Total,2019,2064.412285398534,
00,45460,Terre Haute MSA,Healthcare,Total,2021,8960.13595422995,69572.33513605075
18,00000,Indiana,Healthcare,Total,2022,340371.337541397,82732.0931236398
00,33140,Michigan City-La Porte MSA,Healthcare,Total,2019,4356.522417192469,
0,00000,United States,AgriNovus,Total,2023,5249615.446956142,71876.85086604451
00,18020,Columbus MSA,AgriNovus,Total,2022,765.3541265648599,66084.32211581012
00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,Total,2021,24075.13912185304,73211.679547072
00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,Total,2023,31110.123594135766,184560.28216149533
00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,Total,2020,26144.499043550626,175213.0019686628
00,45460,Terre Haute MSA,BioCrossroads,Total,2019,692.6349108911747,
00,23060,Fort Wayne MSA,TechPoint,Total,2022,6020.3219652778935,104378.13022955164
00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,Total,2021,32353.42057736966,125809.56649544308
00,14020,Bloomington MSA,Advanced and Traded Industries,Total,2022,19104.86655126675,86759.38938101464
00,14020,Bloomington MSA,Healthcare,Total,2023,8353.87116903567,81263.02779406263
00,21140,Elkhart-Goshen MSA,Healthcare,Total,2021,8669.954452090278,73632.66198455471
00,16980,Chicago-Naperville-Elgin MSA,Healthcare,Total,2019,450824.96887186304,
00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,Total,2020,110642.91996584115,85669.97172833454
00,45460,Terre Haute MSA,AgriNovus,Total,2022,1652.8667337616998,65139.3503409908
18,00000,Indiana,AgriNovus,Total,2021,97280.13616071266,65390.021302743444
00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,Total,2022,25510.739173640384,76432.10002839466
00,21780,Evansville MSA,AgriNovus,Total,2023,4687.650447372243,86520.25731661571
00,14020,Bloomington MSA,AgriNovus,Total,2019,1143.926870121115,
00,29020,Kokomo MSA,BioCrossroads,Total,2020,149.1664151089268,62995.93578428659
00,21780,Evansville MSA,BioCrossroads,Total,2020,1439.2471427552568,108606.96272615007
0,00000,United States,Conexus,Total,2021,23284649.677570235,91377.40856742377
00,21140,Elkhart-Goshen MSA,TechPoint,Total,2023,1107.477734291387,81900.24523003816
00,31140,Louisville/Jefferson County MSA,TechPoint,Total,2019,17563.04212852458,
00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,Total,2019,241214.5224766298,
0,00000,United States,Healthcare,Total,2021,15173639.532582197,81528.97785849276
18,00000,Indiana,AgriNovus,Total,2023,104382.61305331464,72337.00713844514
00,21780,Evansville MSA,BioCrossroads,Total,2021,1512.1317039945684,109271.36114340373
00,21140,Elkhart-Goshen MSA,Conexus,Total,2021,82470.33227221352,80160.07467057175
00,29020,Kokomo MSA,TechPoint,Total,2023,253.18138130695297,95083.89748725882
00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,Total,2022,91777.16323506307,89698.26372000902
00,45460,Terre Haute MSA,Healthcare,Total,2020,8974.09620109683,66013.09955091622
00,18020,Columbus MSA,Healthcare,Total,2019,2978.4587997032013,
00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,Total,2020,23514.334207895194,72443.99890965254
00,23060,Fort Wayne MSA,BioCrossroads,Total,2021,1623.9090250818915,87374.08432641019
00,29200,Lafayette-West Lafayette MSA,TechPoint,Total,2022,1425.2665669830008,101824.41283128606
0,00000,United States,Advanced and Traded Industries,Total,2022,42733016.194343545,117299.77061670522
18,00000,Indiana,Finance,Total,2020,107536.65559346568,94557.67212222105
00,34620,Muncie MSA,AgriNovus,Total,2020,449.393365663166,56386.82743569611
00,29200,Lafayette-West Lafayette MSA,AgriNovus,Total,2022,5273.670904066592,74362.22246258454
0,00000,United States,AgriNovus,Total,2020,4874373.711024256,63664.300788121785
00,23060,Fort Wayne MSA,AgriNovus,Total,2019,5062.6411541402695,
00,23060,Fort Wayne MSA,Conexus,Total,2022,58448.40397138403,80984.97891111101
00,31140,Louisville/Jefferson County MSA,Conexus,Total,2022,178276.53846746086,86839.55672933807
00,17140,Cincinnati MSA,Conexus,Total,2021,219276.61074450053,91511.44845435419
00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,Total,2022,348277.2271942989,100755.65866101516
00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,Total,2021,328630.69262341794,97109.27330272069
00,17140,Cincinnati MSA,Advanced and Traded Industries,Total,2019,360713.3914554618,
00,23060,Fort Wayne MSA,Finance,Total,2022,10002.585189715588,96900.30776204185
00,34620,Muncie MSA,Healthcare,Total,2023,7393.668201015594,79268.04790769081
00,31140,Louisville/Jefferson County MSA,Healthcare,Total,2019,70682.5379685387,
00,33140,Michigan City-La Porte MSA,AgriNovus,Total,2019,1779.265518803678,
00,33140,Michigan City-La Porte MSA,BioCrossroads,Total,2020,265.2747526984244,67859.16686514624
00,18020,Columbus MSA,Conexus,Total,2023,22070.319853341138,109258.05564788592
00,18020,Columbus MSA,Conexus,Total,2021,20798.235502470743,101665.79055020738
00,17140,Cincinnati MSA,TechPoint,Total,2023,27510.092547878325,131798.64532486466
00,34620,Muncie MSA,TechPoint,Total,2019,1049.529065857727,
00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,Total,2022,1407943.9459309918,129752.46135678094
00,34620,Muncie MSA,Advanced and Traded Industries,Total,2022,9207.945246219999,75623.55918024147
00,17140,Cincinnati MSA,Healthcare,Total,2020,121845.60179841096,77872.27549854081
00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,Total,2020,74023.38987310136,171751.65787032712
00,29020,Kokomo MSA,Conexus,Total,2021,11365.224007961482,96819.63468691143
00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,Total,2022,33244.682717994714,129388.41925721224
00,21140,Elkhart-Goshen MSA,TechPoint,Total,2021,993.629265063817,75679.87074233814
18,00000,Indiana,TechPoint,Total,2022,70741.70514892573,118304.76497262946
00,17140,Cincinnati MSA,Advanced and Traded Industries,Total,2022,373632.5548639675,108560.41906133869
18,00000,Indiana,Advanced and Traded Industries,Total,2021,1056102.7567361235,87914.18147223364
00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,Total,2019,12543.640186970495,
00,45460,Terre Haute MSA,Finance,Total,2020,1707.5266872524621,73925.68879320426
00,21140,Elkhart-Goshen MSA,BioCrossroads,Total,2020,567.1166617760384,81857.6733989088
0,00000,United States,Conexus,Total,2023,24566305.86071491,98582.37626071935
00,45460,Terre Haute MSA,TechPoint,Total,2022,544.044158288888,87077.43886703314
00,18020,Columbus MSA,Finance,Total,2019,1011.48881706743,
00,14020,Bloomington MSA,AgriNovus,Total,2023,1268.3462145491585,60447.514058166846
00,33140,Michigan City-La Porte MSA,AgriNovus,Total,2020,1826.199928605699,57264.055008361465
00,29020,Kokomo MSA,AgriNovus,Total,2019,602.3558952150576,
00,14020,Bloomington MSA,Conexus,Total,2023,14131.078759814507,86031.32016386672
00,16980,Chicago-Naperville-Elgin MSA,TechPoint,Total,2020,144816.6583443473,141874.6907375067
00,16980,Chicago-Naperville-Elgin MSA,TechPoint,Total,2022,145608.27967259547,158718.69027740273
