sector,sector_name,naics_version,naics_code,naics_title,compTia_reportYear
,,2017,334516,  Analytical laboratory instrument mfg.,2021
,,2017,334517,  Irradiation apparatus manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334517,  Irradiation apparatus manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334519,  Other measuring and controlling device mfg.,2023
,,2017,334519,  Other measuring and controlling device mfg.,2021
,,2017,334613,  Blank magnetic and optical media mfg,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334613,  Blank magnetic and optical media mfg,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334614,  Software and prerecorded media reproducing,2023
,,2017,334614,  Software and prerecorded media reproducing,2021
,,2017,336414,  Guided missile and space vehicle mfg.,2021
,,2017,336415,  Space vehicle propulsion units and parts mfg.,2021
,,2017,336419,  Other guided missile and space vehicle parts,2021
,,2017,423430,  Computer and software merchant wholesalers,2021
1,IT/Tech Services,2017,423430,  Computer and software merchant wholesalers,2023
3,Software,2017,511210,  Software publishers,2023
,,2017,511210,  Software publishers,2021
2,"Telecommunications, Internet Services and Data Hosting",2017,517311,  Wired telecommunications carriers,2023
,,2017,517311,  Wired telecommunications carriers,2021
,,2017,517312,  Wireless telecommunications carriers (except satellite),2021
2,"Telecommunications, Internet Services and Data Hosting",2017,517312,  Wireless telecommunications carriers (except satellite),2023
2,"Telecommunications, Internet Services and Data Hosting",2017,517410,  Satellite telecommunications,2023
,,2017,517410,  Satellite telecommunications,2021
,,2017,517911,  Telecommunications resellers,2021
2,"Telecommunications, Internet Services and Data Hosting",2017,517911,  Telecommunications resellers,2023
2,"Telecommunications, Internet Services and Data Hosting",2017,517919,  All other telecommunications,2023
,,2017,517919,  All other telecommunications,2021
,,2017,518210,"  Data processing, hosting and related services",2021
2,"Telecommunications, Internet Services and Data Hosting",2017,518210,"  Data processing, hosting and related services",2023
2,"Telecommunications, Internet Services and Data Hosting",2017,519130,  Internet publishing and web search portals,2023
,,2017,519130,  Internet publishing and web search portals,2021
,,2017,541330,  Engineering services,2021
 ,,2017,541330,,
,,2017,541380,  Testing laboratories,2021
,,2017,541511,  Custom computer programming services,2021
1,IT/Tech Services,2017,541511,  Custom computer programming services,2023
