cicp_initiative,sector,sector_name,Year,statefips,metrofips,geo_area,entry_level_ed,jobs
Advanced and Traded Industries,0,,2019,00,21780,Evansville MSA,No formal educational credential,5270.920917080502
Advanced and Traded Industries,0,,2019,00,21780,Evansville MSA,Postsecondary nondegree award,2032.2861837715498
Advanced and Traded Industries,0,,2019,00,21780,Evansville MSA,"Some college, no degree",868.4280451866694
Advanced and Traded Industries,0,,2019,00,23060,Fort Wayne MSA,Associate's degree,1384.652975950677
Advanced and Traded Industries,0,,2019,00,23060,Fort Wayne MSA,Bachelor's degree,15060.477152712556
Advanced and Traded Industries,0,,2019,00,23060,Fort Wayne MSA,Doctoral or professional degree,237.10838968031206
Advanced and Traded Industries,0,,2019,00,23060,Fort Wayne MSA,High school diploma or equivalent,43463.12509692227
Advanced and Traded Industries,0,,2019,00,23060,Fort Wayne MSA,Master's degree,82.62935090505748
Advanced and Traded Industries,0,,2019,00,23060,Fort Wayne MSA,No formal educational credential,7546.747198769199
Advanced and Traded Industries,0,,2019,00,23060,Fort Wayne MSA,Postsecondary nondegree award,3597.5472424824425
Advanced and Traded Industries,0,,2019,00,23060,Fort Wayne MSA,"Some college, no degree",1281.5018252453765
Advanced and Traded Industries,0,,2019,00,26900,Indianapolis-Carmel-Greenwood MSA,Associate's degree,6330.443880477572
Advanced and Traded Industries,0,,2019,00,26900,Indianapolis-Carmel-Greenwood MSA,Bachelor's degree,89706.20620880052
Advanced and Traded Industries,0,,2019,00,26900,Indianapolis-Carmel-Greenwood MSA,Doctoral or professional degree,2164.8886654218177
Advanced and Traded Industries,0,,2019,00,26900,Indianapolis-Carmel-Greenwood MSA,High school diploma or equivalent,149230.59379931228
Advanced and Traded Industries,0,,2019,00,26900,Indianapolis-Carmel-Greenwood MSA,Master's degree,660.0183952077559
Advanced and Traded Industries,0,,2019,00,26900,Indianapolis-Carmel-Greenwood MSA,No formal educational credential,45144.75969599062
Advanced and Traded Industries,0,,2019,00,26900,Indianapolis-Carmel-Greenwood MSA,Postsecondary nondegree award,17835.10983011086
Advanced and Traded Industries,0,,2019,00,26900,Indianapolis-Carmel-Greenwood MSA,"Some college, no degree",7381.995886915808
Advanced and Traded Industries,0,,2019,00,29020,Kokomo MSA,Associate's degree,195.134307539077
Advanced and Traded Industries,0,,2019,00,29020,Kokomo MSA,Bachelor's degree,2079.2190171341895
Advanced and Traded Industries,0,,2019,00,29020,Kokomo MSA,Doctoral or professional degree,20.71720217184483
Advanced and Traded Industries,0,,2019,00,29020,Kokomo MSA,High school diploma or equivalent,10318.79565139275
Advanced and Traded Industries,0,,2019,00,29020,Kokomo MSA,Master's degree,0.019853431165772
