sector,sector_name,subsector,subsector_name,naics_code,naics_title,naics_version,group_by,group_by_title,level
1,Manufacturing,4.0,Consumer Products Manufacturing,335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,2022,3351,Electric Lighting Equipment Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,335210,Small Electrical Appliance Manufacturing,2022,3352,Household Appliance Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,335220,Major Household Appliance Manufacturing,2022,3352,Household Appliance Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,337910,Mattress Manufacturing,2022,3379,Other Furniture Related Product Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,337920,Blind and Shade Manufacturing,2022,3379,Other Furniture Related Product Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339116,Dental Laboratories,2022,3391,Medical Equipment and Supplies Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339910,Jewelry and Silverware Manufacturing,2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339920,Sporting and Athletic Goods Manufacturing,2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339930,"Doll, Toy, and Game Manufacturing",2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339992,Musical Instrument Manufacturing,2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339993,"Fastener, Button, Needle, and Pin Manufacturing",2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339994,"Broom, Brush, and Mop Manufacturing",2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339995,Burial Casket Manufacturing,2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,4.0,Consumer Products Manufacturing,339999,All Other Miscellaneous Manufacturing,2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,5.0,Electronic Components and Products Manufacturing,333242,Semiconductor Machinery Manufacturing,2022,3332,Industrial Machinery Manufacturing,2
1,Manufacturing,5.0,Electronic Components and Products Manufacturing,334111,Electronic Computer Manufacturing,2022,3341,Computer and Peripheral Equipment Manufacturing,2
1,Manufacturing,5.0,Electronic Components and Products Manufacturing,334112,Computer Storage Device Manufacturing,2022,3341,Computer and Peripheral Equipment Manufacturing,2
1,Manufacturing,5.0,Electronic Components and Products Manufacturing,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,2022,3341,Computer and Peripheral Equipment Manufacturing,2
