year,statefips,metrofips,geo_area,code,category,data
2021,18,00000,Indiana,905,Area of Study - Social and Behavioral Sciences and Human Services,3117
2021,18,00000,Indiana,906,Area of Study - Trades,1680
2021,18,00000,Indiana,907,Area of Study - Undecided,1662
2021,18,00000,Indiana,908,Degree Level - Associate,5299
2021,18,00000,Indiana,909,Degree Level - Award of at least 1 but less than 2 academic years,829
2021,18,00000,Indiana,910,Degree Level - Award of less than 1 academic year,669
2021,18,00000,Indiana,911,Degree Level - Bachelor's,20448
2021,18,00000,Indiana,912,Degree Level - Unclassified undergraduate,140
2017,18,26900,Indianapolis MSA,100,Total High School Graduates,23434
2017,18,26900,Indianapolis MSA,101,Diploma Type - Core 40,12031
2017,18,26900,Indianapolis MSA,102,Diploma Type - General,2462
2017,18,26900,Indianapolis MSA,103,Diploma Type - Honors,8941
2017,18,26900,Indianapolis MSA,200,No ACT data,0
2017,18,26900,Indianapolis MSA,201,ACT - < 15,0
2017,18,26900,Indianapolis MSA,202,ACT - 15-19,0
2017,18,26900,Indianapolis MSA,203,ACT - 20-25,0
2017,18,26900,Indianapolis MSA,204,ACT - 26-36,0
2017,18,26900,Indianapolis MSA,300,Gender - Female,12052
2017,18,26900,Indianapolis MSA,301,Gender - Male,11382
2017,18,26900,Indianapolis MSA,302,Race/Ethnicity - Asian,819
2017,18,26900,Indianapolis MSA,303,Race/Ethnicity - Black,3998
2017,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,1906
2017,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,1906
2017,18,26900,Indianapolis MSA,305,Race/Ethnicity - Other,998
2017,18,26900,Indianapolis MSA,306,Race/Ethnicity - White,15713
2017,18,26900,Indianapolis MSA,400,Waiver Status - Graduated with Waiver,2019
2017,18,26900,Indianapolis MSA,401,Waiver Status - Graduated without Waiver,21415
2017,18,26900,Indianapolis MSA,500,Socioeconomic Status - Free or Reduced Lunch,7668
2017,18,26900,Indianapolis MSA,501,Socioeconomic Status - Non Free or Reduced Lunch,15766
2017,18,26900,Indianapolis MSA,600,No SAT data,8538
2017,18,26900,Indianapolis MSA,601,SAT - < 800,522
2017,18,26900,Indianapolis MSA,602,SAT - 1000-1199,6286
2017,18,26900,Indianapolis MSA,603,SAT - 1200-1600,4387
2017,18,26900,Indianapolis MSA,604,SAT - 800-999,3701
2017,18,26900,Indianapolis MSA,700,College Enrollments,15218
2017,18,26900,Indianapolis MSA,800,Indiana Public College Enrollments,10785
2017,18,26900,Indianapolis MSA,900,Area of Study - Arts and Humanities,1804
2017,18,26900,Indianapolis MSA,901,Area of Study - Business and Communication,2029
2017,18,26900,Indianapolis MSA,902,Area of Study - Education,633
2017,18,26900,Indianapolis MSA,903,Area of Study - Health,1572
2017,18,26900,Indianapolis MSA,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",2458
2017,18,26900,Indianapolis MSA,905,Area of Study - Social and Behavioral Sciences and Human Services,1066
2017,18,26900,Indianapolis MSA,906,Area of Study - Trades,524
2017,18,26900,Indianapolis MSA,907,Area of Study - Undecided,699
2017,18,26900,Indianapolis MSA,908,Degree Level - Associate,2783
2017,18,26900,Indianapolis MSA,909,Degree Level - Award of at least 1 but less than 2 academic years,137
2017,18,26900,Indianapolis MSA,910,Degree Level - Award of less than 1 academic year,39
2017,18,26900,Indianapolis MSA,911,Degree Level - Bachelor's,7782
2017,18,26900,Indianapolis MSA,912,Degree Level - Unclassified undergraduate,44
2018,18,26900,Indianapolis MSA,100,Total High School Graduates,24289
2018,18,26900,Indianapolis MSA,101,Diploma Type - Core 40,12803
2018,18,26900,Indianapolis MSA,102,Diploma Type - General,2056
2018,18,26900,Indianapolis MSA,103,Diploma Type - Honors,9430
2018,18,26900,Indianapolis MSA,200,No ACT data,0
2018,18,26900,Indianapolis MSA,201,ACT - < 15,17876
2018,18,26900,Indianapolis MSA,202,ACT - 15-19,1755
2018,18,26900,Indianapolis MSA,203,ACT - 20-25,2571
2018,18,26900,Indianapolis MSA,204,ACT - 26-36,2087
2018,18,26900,Indianapolis MSA,300,Gender - Female,12413
2018,18,26900,Indianapolis MSA,301,Gender - Male,11876
2018,18,26900,Indianapolis MSA,302,Race/Ethnicity - Asian,926
2018,18,26900,Indianapolis MSA,303,Race/Ethnicity - Black,4027
2018,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,2095
2018,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,2095
2018,18,26900,Indianapolis MSA,305,Race/Ethnicity - Other,1092
2018,18,26900,Indianapolis MSA,306,Race/Ethnicity - White,16149
2018,18,26900,Indianapolis MSA,400,Waiver Status - Graduated with Waiver,2135
2018,18,26900,Indianapolis MSA,401,Waiver Status - Graduated without Waiver,22154
2018,18,26900,Indianapolis MSA,500,Socioeconomic Status - Free or Reduced Lunch,8661
2018,18,26900,Indianapolis MSA,501,Socioeconomic Status - Non Free or Reduced Lunch,15628
2018,18,26900,Indianapolis MSA,600,No SAT data,0
2018,18,26900,Indianapolis MSA,601,SAT - < 800,9851
2018,18,26900,Indianapolis MSA,602,SAT - 1000-1199,6491
2018,18,26900,Indianapolis MSA,603,SAT - 1200-1600,4543
2018,18,26900,Indianapolis MSA,604,SAT - 800-999,3404
2018,18,26900,Indianapolis MSA,700,College Enrollments,15381
2018,18,26900,Indianapolis MSA,800,Indiana Public College Enrollments,10683
2018,18,26900,Indianapolis MSA,900,Area of Study - Arts and Humanities,1584
2018,18,26900,Indianapolis MSA,901,Area of Study - Business and Communication,1936
2018,18,26900,Indianapolis MSA,902,Area of Study - Education,599
2018,18,26900,Indianapolis MSA,903,Area of Study - Health,1529
2018,18,26900,Indianapolis MSA,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",2590
2018,18,26900,Indianapolis MSA,905,Area of Study - Social and Behavioral Sciences and Human Services,1107
2018,18,26900,Indianapolis MSA,906,Area of Study - Trades,573
2018,18,26900,Indianapolis MSA,907,Area of Study - Undecided,765
2018,18,26900,Indianapolis MSA,908,Degree Level - Associate,2713
2018,18,26900,Indianapolis MSA,909,Degree Level - Award of at least 1 but less than 2 academic years,137
2018,18,26900,Indianapolis MSA,910,Degree Level - Award of less than 1 academic year,61
2018,18,26900,Indianapolis MSA,911,Degree Level - Bachelor's,7740
2018,18,26900,Indianapolis MSA,912,Degree Level - Unclassified undergraduate,32
2019,18,26900,Indianapolis MSA,100,Total High School Graduates,25353
2019,18,26900,Indianapolis MSA,101,Diploma Type - Core 40,13482
2019,18,26900,Indianapolis MSA,102,Diploma Type - General,2147
2019,18,26900,Indianapolis MSA,103,Diploma Type - Honors,9724
2019,18,26900,Indianapolis MSA,200,No ACT data,18960
2019,18,26900,Indianapolis MSA,201,ACT - < 15,511
2019,18,26900,Indianapolis MSA,202,ACT - 15-19,1504
2019,18,26900,Indianapolis MSA,203,ACT - 20-25,2354
2019,18,26900,Indianapolis MSA,204,ACT - 26-36,2024
2019,18,26900,Indianapolis MSA,300,Gender - Female,12945
2019,18,26900,Indianapolis MSA,301,Gender - Male,12408
2019,18,26900,Indianapolis MSA,302,Race/Ethnicity - Asian,995
2019,18,26900,Indianapolis MSA,303,Race/Ethnicity - Black,4299
2019,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,2538
2019,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,2538
2019,18,26900,Indianapolis MSA,305,Race/Ethnicity - Other,1078
2019,18,26900,Indianapolis MSA,306,Race/Ethnicity - White,16443
2019,18,26900,Indianapolis MSA,400,Waiver Status - Graduated with Waiver,3181
2019,18,26900,Indianapolis MSA,401,Waiver Status - Graduated without Waiver,22172
2019,18,26900,Indianapolis MSA,500,Socioeconomic Status - Free or Reduced Lunch,8935
2019,18,26900,Indianapolis MSA,501,Socioeconomic Status - Non Free or Reduced Lunch,16418
2019,18,26900,Indianapolis MSA,600,No SAT data,16563
2019,18,26900,Indianapolis MSA,601,SAT - < 800,413
2019,18,26900,Indianapolis MSA,602,SAT - 1000-1199,3853
2019,18,26900,Indianapolis MSA,603,SAT - 1200-1600,1907
2019,18,26900,Indianapolis MSA,604,SAT - 800-999,2617
2019,18,26900,Indianapolis MSA,700,College Enrollments,15294
2019,18,26900,Indianapolis MSA,800,Indiana Public College Enrollments,10823
2019,18,26900,Indianapolis MSA,900,Area of Study - Arts and Humanities,1523
2019,18,26900,Indianapolis MSA,901,Area of Study - Business and Communication,1927
2019,18,26900,Indianapolis MSA,902,Area of Study - Education,623
2019,18,26900,Indianapolis MSA,903,Area of Study - Health,1567
2019,18,26900,Indianapolis MSA,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",2669
2019,18,26900,Indianapolis MSA,905,Area of Study - Social and Behavioral Sciences and Human Services,1223
2019,18,26900,Indianapolis MSA,906,Area of Study - Trades,618
2019,18,26900,Indianapolis MSA,907,Area of Study - Undecided,673
2019,18,26900,Indianapolis MSA,908,Degree Level - Associate,2518
2019,18,26900,Indianapolis MSA,909,Degree Level - Award of at least 1 but less than 2 academic years,316
2019,18,26900,Indianapolis MSA,910,Degree Level - Award of less than 1 academic year,69
2019,18,26900,Indianapolis MSA,911,Degree Level - Bachelor's,7895
2019,18,26900,Indianapolis MSA,912,Degree Level - Unclassified undergraduate,25
2020,18,26900,Indianapolis MSA,100,Total High School Graduates,25586
2020,18,26900,Indianapolis MSA,101,Diploma Type - Core 40,13821
2020,18,26900,Indianapolis MSA,102,Diploma Type - General,1952
2020,18,26900,Indianapolis MSA,103,Diploma Type - Honors,9813
2020,18,26900,Indianapolis MSA,200,No ACT data,0
2020,18,26900,Indianapolis MSA,201,ACT - < 15,20255
2020,18,26900,Indianapolis MSA,202,ACT - 15-19,1426
2020,18,26900,Indianapolis MSA,203,ACT - 20-25,2077
2020,18,26900,Indianapolis MSA,204,ACT - 26-36,1828
2020,18,26900,Indianapolis MSA,300,Gender - Female,13143
2020,18,26900,Indianapolis MSA,301,Gender - Male,12443
2020,18,26900,Indianapolis MSA,302,Race/Ethnicity - Asian,1075
2020,18,26900,Indianapolis MSA,303,Race/Ethnicity - Black,4435
2020,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,2832
2020,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,2832
2020,18,26900,Indianapolis MSA,305,Race/Ethnicity - Other,1229
2020,18,26900,Indianapolis MSA,306,Race/Ethnicity - White,16015
2020,18,26900,Indianapolis MSA,400,Waiver Status - Graduated with Waiver,45
2020,18,26900,Indianapolis MSA,401,Waiver Status - Graduated without Waiver,25541
2020,18,26900,Indianapolis MSA,500,Socioeconomic Status - Free or Reduced Lunch,9189
2020,18,26900,Indianapolis MSA,501,Socioeconomic Status - Non Free or Reduced Lunch,16397
2020,18,26900,Indianapolis MSA,600,No SAT data,0
2020,18,26900,Indianapolis MSA,601,SAT - < 800,16034
2020,18,26900,Indianapolis MSA,602,SAT - 1000-1199,4273
2020,18,26900,Indianapolis MSA,603,SAT - 1200-1600,3199
2020,18,26900,Indianapolis MSA,604,SAT - 800-999,2080
2020,18,26900,Indianapolis MSA,700,College Enrollments,14286
2020,18,26900,Indianapolis MSA,800,Indiana Public College Enrollments,10036
2020,18,26900,Indianapolis MSA,900,Area of Study - Arts and Humanities,1267
