year,NAICS,occ
2026,523160,29-1161
2020,523150,35-3031
2027,525110,15-1211
2027,525910,27-4099
2020,524128,39-2021
2026,522310,19-1022
2028,522320,51-9031
2025,522299,51-9199
2020,522390,39-6011
2019,524210,25-4013
2028,524113,13-1031
2024,524130,17-3027
2027,523999,29-1123
2023,524291,51-2098
2022,522390,51-6061
2024,523160,49-9096
2022,525120,43-5021
2026,524291,49-3091
2025,525920,19-3091
2021,523910,11-9032
2021,522110,13-1031
2025,522292,19-3034
2026,524298,49-9081
2028,524114,33-3051
2022,525910,27-3031
2027,524291,11-9179
2019,522220,27-3031
2026,522110,19-3032
2021,524298,11-9033
2025,524210,13-1075
2021,522292,27-2032
2025,522110,17-2071
2024,522390,51-6064
2019,522130,51-7041
2027,525990,13-1082
2024,525910,29-2051
2028,522220,51-7011
2028,522310,43-4141
2024,525110,29-1292
2020,525190,17-2051
2020,525920,15-1255
2027,522299,51-5112
2027,523910,53-5022
2022,522299,47-2043
2022,522320,51-4071
2022,524210,29-1022
2026,522299,39-2021
2025,522180,17-1012
2026,523150,19-4013
2022,522110,31-9099
2022,522110,25-2021
2025,523160,43-5031
2019,522299,25-2021
2028,524298,41-4012
2026,522320,13-2071
2021,522220,45-2091
2020,525190,29-2057
2021,523910,29-2053
2019,525120,19-1029
2019,525990,25-2058
2023,525920,11-3121
2027,524298,19-1011
2022,524210,19-3091
2027,525120,29-1128
2019,524291,29-1229
2022,524292,43-4071
2028,522292,27-1013
2020,522180,51-4021
2024,524128,53-7064
2026,524210,47-3013
2026,522292,29-2034
2020,524298,47-5043
2024,522110,29-2042
2028,522130,29-1081
2026,525990,47-5099
2027,522299,37-2019
2020,522130,39-6011
2025,524210,17-1022
2026,525920,53-6031
2023,523150,27-3091
2019,525110,29-2091
2022,524126,33-9011
2020,524127,17-3031
2027,522220,37-1012
2027,525190,25-2052
2025,525910,53-2031
2027,522310,29-1292
2020,524113,31-9093
2028,525990,39-9011
2021,522310,29-1128
2022,522210,11-2021
2028,523910,51-3091
2020,523160,29-2018
2025,525920,49-2091
2020,522130,47-2171
2021,523210,47-2071
2021,524298,31-9099
2022,523910,43-4161
2022,523150,29-1224
2020,523150,53-3032
2028,524298,11-3031
2023,523160,29-9099
2024,523999,43-9071
2027,524127,11-3131
2021,525910,39-9041
2027,522310,27-2031
2019,523910,41-9021
2019,524128,51-7099
2025,522292,43-3099
2026,524130,49-2092
2026,525190,51-9162
2020,524127,29-2035
2025,524292,11-9032
2028,522390,49-3023
2021,523160,45-1011
2019,522291,49-3093
2021,522180,13-2031
2028,523940,19-4021
2025,523999,35-2012
2023,522130,35-2012
2022,522292,11-3051
2020,522220,19-4031
2028,524292,51-4033
2026,525910,23-1012
2022,522180,19-4099
2026,524113,51-9199
2020,522180,53-6041
