year,statefips,metrofips,geo_area,cicp_initiative,jobs
2025,00,14020,Bloomington MSA,TechPoint,1010.0649562432233
2025,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,350106.715822159
2025,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,8637.754102630479
2025,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,37991.71709406207
2025,00,16980,Chicago-Naperville-Elgin MSA,Conexus,161897.29511493514
2025,00,16980,Chicago-Naperville-Elgin MSA,Finance,43266.80866334926
2025,00,16980,Chicago-Naperville-Elgin MSA,Healthcare,13230.252930018529
2025,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,115530.22052535636
2025,00,17140,Cincinnati MSA,Advanced and Traded Industries,106280.6597108969
2025,00,17140,Cincinnati MSA,AgriNovus,2884.2064083073187
2025,00,17140,Cincinnati MSA,BioCrossroads,9884.545205513985
2025,00,17140,Cincinnati MSA,Conexus,61115.44865773065
2025,00,17140,Cincinnati MSA,Finance,10470.884803409472
2025,00,17140,Cincinnati MSA,Healthcare,4111.7333622967735
2025,00,17140,Cincinnati MSA,TechPoint,24550.12576150076
2025,00,18020,Columbus MSA,Advanced and Traded Industries,9551.868074007152
2025,00,18020,Columbus MSA,AgriNovus,25.077332761797688
2025,00,18020,Columbus MSA,BioCrossroads,356.0836612901882
2025,00,18020,Columbus MSA,Conexus,11455.993601682023
2025,00,18020,Columbus MSA,Finance,181.64519214776135
2025,00,18020,Columbus MSA,Healthcare,10.949809836308734
2025,00,18020,Columbus MSA,TechPoint,791.1164692575843
2025,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,7898.823424903406
2025,00,21140,Elkhart-Goshen MSA,AgriNovus,107.68284503621899
2025,00,21140,Elkhart-Goshen MSA,BioCrossroads,284.00848143961895
2025,00,21140,Elkhart-Goshen MSA,Conexus,8594.83691638768
2025,00,21140,Elkhart-Goshen MSA,Finance,254.40909220409682
2025,00,21140,Elkhart-Goshen MSA,Healthcare,192.2602863078464
2025,00,21140,Elkhart-Goshen MSA,TechPoint,748.9518787124052
2025,00,21780,Evansville MSA,Advanced and Traded Industries,7837.500436648177
2025,00,21780,Evansville MSA,AgriNovus,274.58478441457095
2025,00,21780,Evansville MSA,BioCrossroads,828.3508823692206
2025,00,21780,Evansville MSA,Conexus,4939.916346270924
2025,00,21780,Evansville MSA,Finance,482.2059771017894
2025,00,21780,Evansville MSA,Healthcare,303.1228579813607
2025,00,21780,Evansville MSA,TechPoint,1604.8787267980713
2025,00,23060,Fort Wayne MSA,Advanced and Traded Industries,15393.020983420953
2025,00,23060,Fort Wayne MSA,AgriNovus,315.42167290127134
2025,00,23060,Fort Wayne MSA,BioCrossroads,788.2537378827018
2025,00,23060,Fort Wayne MSA,Conexus,12282.557397267788
2025,00,23060,Fort Wayne MSA,Finance,1815.353224194005
2025,00,23060,Fort Wayne MSA,Healthcare,917.7735098231342
2025,00,23060,Fort Wayne MSA,TechPoint,4183.889671479633
2025,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,94536.2452876708
2025,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,2193.3358525111958
2025,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,14959.896008587226
2025,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,49071.109407345415
2025,00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,8867.585232071848
2025,00,26900,Indianapolis-Carmel-Greenwood MSA,Healthcare,3820.4698279912436
2025,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,30975.4584158833
2025,00,29020,Kokomo MSA,Advanced and Traded Industries,1507.4046931803155
2025,00,29020,Kokomo MSA,AgriNovus,6.666639422846943
2025,00,29020,Kokomo MSA,BioCrossroads,38.03358999905303
2025,00,29020,Kokomo MSA,Conexus,1750.9860356281686
2025,00,29020,Kokomo MSA,Finance,104.68784710721607
2025,00,29020,Kokomo MSA,Healthcare,31.629007771002303
2025,00,29020,Kokomo MSA,TechPoint,205.84693510604322
2025,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,7475.871836979939
2025,00,29200,Lafayette-West Lafayette MSA,AgriNovus,641.9334106822446
2025,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,1360.5452918026108
2025,00,29200,Lafayette-West Lafayette MSA,Conexus,6690.182278676497
2025,00,29200,Lafayette-West Lafayette MSA,Finance,314.81285924467016
2025,00,29200,Lafayette-West Lafayette MSA,Healthcare,192.64012723045502
2025,00,29200,Lafayette-West Lafayette MSA,TechPoint,1310.9176098214066
2025,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,45529.775480314034
2025,00,31140,Louisville/Jefferson County MSA,AgriNovus,1225.4234230895975
2025,00,31140,Louisville/Jefferson County MSA,BioCrossroads,2774.5543117542143
2025,00,31140,Louisville/Jefferson County MSA,Conexus,26724.58953933006
2025,00,31140,Louisville/Jefferson County MSA,Finance,6328.7446644672455
2025,00,31140,Louisville/Jefferson County MSA,Healthcare,2071.9436782822836
2025,00,31140,Louisville/Jefferson County MSA,TechPoint,13566.49906291859
2025,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,2024.0823681129518
2025,00,33140,Michigan City-La Porte MSA,AgriNovus,40.01626644909018
2025,00,33140,Michigan City-La Porte MSA,BioCrossroads,65.91099791488321
2025,00,33140,Michigan City-La Porte MSA,Conexus,2223.3597450885895
2025,00,33140,Michigan City-La Porte MSA,Finance,140.1875007841066
2025,00,33140,Michigan City-La Porte MSA,Healthcare,68.44067167397974
2025,00,33140,Michigan City-La Porte MSA,TechPoint,266.6611871141457
2025,00,34620,Muncie MSA,Advanced and Traded Industries,2177.041346246751
2025,00,34620,Muncie MSA,AgriNovus,10.26322869503823
2025,00,34620,Muncie MSA,BioCrossroads,63.636530889454804
2025,00,34620,Muncie MSA,Conexus,993.810342755544
2025,00,34620,Muncie MSA,Finance,245.24897876960173
2025,00,34620,Muncie MSA,Healthcare,104.59038071392004
2025,00,34620,Muncie MSA,TechPoint,956.9877478805394
2025,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,7171.383659031952
2025,00,43780,South Bend-Mishawaka MSA,AgriNovus,36.387835285435095
2025,00,43780,South Bend-Mishawaka MSA,BioCrossroads,517.2637123130477
2025,00,43780,South Bend-Mishawaka MSA,Conexus,4603.5128425681005
2025,00,43780,South Bend-Mishawaka MSA,Finance,466.0254737302525
2025,00,43780,South Bend-Mishawaka MSA,Healthcare,308.4514057586472
2025,00,43780,South Bend-Mishawaka MSA,TechPoint,2130.9557982643305
2025,00,45460,Terre Haute MSA,Advanced and Traded Industries,2132.225866366764
2025,00,45460,Terre Haute MSA,AgriNovus,65.01951519047458
2025,00,45460,Terre Haute MSA,BioCrossroads,166.90507201571722
2025,00,45460,Terre Haute MSA,Conexus,2109.5264018264274
2025,00,45460,Terre Haute MSA,Finance,196.91112640888244
2025,00,45460,Terre Haute MSA,Healthcare,126.55208859255104
2025,00,45460,Terre Haute MSA,TechPoint,358.7549471235833
2025,18,00000,Indiana,Advanced and Traded Industries,235728.88082290138
2025,18,00000,Indiana,AgriNovus,6897.2073846921285
2025,18,00000,Indiana,BioCrossroads,30649.16032605909
2025,18,00000,Indiana,Conexus,162741.40304563125
2025,18,00000,Indiana,Finance,18737.716679415727
2025,18,00000,Indiana,Healthcare,8055.7232925063945
2025,18,00000,Indiana,TechPoint,63709.649291692556
2026,0,00000,United States,Advanced and Traded Industries,14366574.668787412
2026,0,00000,United States,AgriNovus,348312.2936087124
2026,0,00000,United States,BioCrossroads,1771390.9037913023
2026,0,00000,United States,Conexus,6178178.228772432
2026,0,00000,United States,Finance,1329275.1176149568
2026,0,00000,United States,Healthcare,461750.7816435708
2026,0,00000,United States,TechPoint,5900233.623264106
2026,00,14020,Bloomington MSA,Advanced and Traded Industries,6817.369918387598
2026,00,14020,Bloomington MSA,AgriNovus,158.1824971016725
2026,00,14020,Bloomington MSA,BioCrossroads,4071.38032519101
2026,00,14020,Bloomington MSA,Conexus,6356.846217149062
2026,00,14020,Bloomington MSA,Finance,311.06205475479607
2026,00,14020,Bloomington MSA,Healthcare,202.9692684048206
2026,00,14020,Bloomington MSA,TechPoint,1022.9797431874745
2026,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,351713.5753895475
2026,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,8856.36740636324
2026,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,38143.18335934661
2026,00,16980,Chicago-Naperville-Elgin MSA,Conexus,162588.5670199726
2026,00,16980,Chicago-Naperville-Elgin MSA,Finance,43589.10525891648
2026,00,16980,Chicago-Naperville-Elgin MSA,Healthcare,13376.140929335845
2026,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,116276.4634636711
2026,00,17140,Cincinnati MSA,Advanced and Traded Industries,107338.05924030126
