year,statefips,metrofips,geo_area,cicp_initiative,occ,occ_title,jobs
2019,0,00000,United States,AgriNovus,17-3021,Aerospace Engineering and Operations Technologists and Technicians,0.0
2019,0,00000,United States,AgriNovus,17-3022,Civil Engineering Technologists and Technicians,104.4244140573
2019,0,00000,United States,AgriNovus,17-3023,Electrical and Electronic Engineering Technologists and Technicians,2714.6329842373566
2019,0,00000,United States,AgriNovus,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,856.2235670453782
2019,0,00000,United States,AgriNovus,17-3025,Environmental Engineering Technologists and Technicians,187.44794270475597
2019,0,00000,United States,AgriNovus,17-3026,Industrial Engineering Technologists and Technicians,5559.411076944756
2019,0,00000,United States,AgriNovus,17-3027,Mechanical Engineering Technologists and Technicians,2382.603738542285
2019,0,00000,United States,AgriNovus,17-3028,Calibration Technologists and Technicians,171.89100919418698
2019,0,00000,United States,AgriNovus,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1742.4599898105116
2019,0,00000,United States,AgriNovus,17-3031,Surveying and Mapping Technicians,19.662062832282
2019,0,00000,United States,AgriNovus,19-1011,Animal Scientists,2134.591981617452
2019,0,00000,United States,AgriNovus,19-1012,Food Scientists and Technologists,27316.368999488317
2019,0,00000,United States,AgriNovus,19-1013,Soil and Plant Scientists,8221.435134006624
2019,0,00000,United States,AgriNovus,19-1021,Biochemists and Biophysicists,399.4362981861601
2019,0,00000,United States,AgriNovus,19-1022,Microbiologists,1005.4135374425279
2019,0,00000,United States,AgriNovus,19-1023,Zoologists and Wildlife Biologists,489.54881586462005
2019,0,00000,United States,AgriNovus,19-1029,"Biological Scientists, All Other",1003.5050077263302
2019,0,00000,United States,AgriNovus,19-1031,Conservation Scientists,3799.0255433163
2019,0,00000,United States,AgriNovus,19-1032,Foresters,6319.55726277585
2019,0,00000,United States,AgriNovus,19-1041,Epidemiologists,7.1472054679740005
2019,0,00000,United States,AgriNovus,19-1042,"Medical Scientists, Except Epidemiologists",728.0668124452576
2019,0,00000,United States,AgriNovus,19-1099,"Life Scientists, All Other",107.799189806307
2019,0,00000,United States,AgriNovus,19-2011,Astronomers,0.0
2019,0,00000,United States,AgriNovus,19-2012,Physicists,80.62679327499303
2019,0,00000,United States,AgriNovus,19-2021,Atmospheric and Space Scientists,0.0
2019,0,00000,United States,AgriNovus,19-2031,Chemists,7794.189115466836
2019,0,00000,United States,AgriNovus,19-2032,Materials Scientists,330.43531402574996
2019,0,00000,United States,AgriNovus,19-2041,"Environmental Scientists and Specialists, Including Health",518.5477765671523
2019,0,00000,United States,AgriNovus,19-2042,"Geoscientists, Except Hydrologists and Geographers",64.74025706562
2019,0,00000,United States,AgriNovus,19-2043,Hydrologists,6.9185471569734
2019,0,00000,United States,AgriNovus,19-2099,"Physical Scientists, All Other",1272.2176770677702
2019,0,00000,United States,AgriNovus,19-4012,Agricultural Technicians,17398.64631587473
2019,0,00000,United States,AgriNovus,19-4013,Food Science Technicians,27785.70398131569
2019,0,00000,United States,AgriNovus,19-4021,Biological Technicians,1289.1488806965783
2019,0,00000,United States,AgriNovus,19-4031,Chemical Technicians,9098.622710676871
2019,0,00000,United States,AgriNovus,19-4042,"Environmental Science and Protection Technicians, Including Health",334.2617786934372
2019,0,00000,United States,AgriNovus,19-4043,"Geological Technicians, Except Hydrologic Technicians",0.0
2019,0,00000,United States,AgriNovus,19-4044,Hydrologic Technicians,249.893648774361
2019,0,00000,United States,AgriNovus,19-4051,Nuclear Technicians,117.72513596678098
2019,0,00000,United States,AgriNovus,19-4071,Forest and Conservation Technicians,520.1084318468099
2019,0,00000,United States,AgriNovus,19-4092,Forensic Science Technicians,180.20988589530003
2019,0,00000,United States,AgriNovus,19-4099,"Life, Physical, and Social Science Technicians, All Other",1657.94196164319
2019,0,00000,United States,AgriNovus,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",18097.8042519138
2019,0,00000,United States,AgriNovus,41-9031,Sales Engineers,1354.4563022964253
2019,0,00000,United States,BioCrossroads,11-3021,Computer and Information Systems Managers,31954.56349231979
2019,0,00000,United States,BioCrossroads,11-9041,Architectural and Engineering Managers,37648.69905306927
2019,0,00000,United States,BioCrossroads,11-9121,Natural Sciences Managers,61262.82137851988
2019,0,00000,United States,BioCrossroads,15-1211,Computer Systems Analysts,33014.58630122089
2019,0,00000,United States,BioCrossroads,15-1212,Information Security Analysts,9226.584759083837
2019,0,00000,United States,BioCrossroads,15-1221,Computer and Information Research Scientists,10804.050492824728
2019,0,00000,United States,BioCrossroads,15-1231,Computer Network Support Specialists,8130.126533929413
2019,0,00000,United States,BioCrossroads,15-1232,Computer User Support Specialists,33576.77602584496
2019,0,00000,United States,BioCrossroads,15-1241,Computer Network Architects,9464.237403809157
2019,0,00000,United States,BioCrossroads,15-1242,Database Administrators,4114.752712157769
2019,0,00000,United States,BioCrossroads,15-1243,Database Architects,2312.855701083048
2019,0,00000,United States,BioCrossroads,15-1244,Network and Computer Systems Administrators,20547.7541554293
2019,0,00000,United States,BioCrossroads,15-1251,Computer Programmers,12228.11765090708
2019,0,00000,United States,BioCrossroads,15-1252,Software Developers,100824.71234617931
2019,0,00000,United States,BioCrossroads,15-1253,Software Quality Assurance Analysts and Testers,12066.585492697472
2019,0,00000,United States,BioCrossroads,15-1254,Web Developers,2072.3680114912236
2019,0,00000,United States,BioCrossroads,15-1255,Web and Digital Interface Designers,1974.1806524244741
