statefips,countyfips,metrofips,cnty_name,year,code,data
18,000,26900,Metro Total,2021,201,188
18,000,26900,Metro Total,2021,202,560
18,000,26900,Metro Total,2021,203,1058
18,000,26900,Metro Total,2021,204,1072
18,000,26900,Metro Total,2021,300,12704
18,000,26900,Metro Total,2021,301,12146
18,000,26900,Metro Total,2021,302,1102
18,000,26900,Metro Total,2021,303,4024
18,000,26900,Metro Total,2021,304,2844
18,000,26900,Metro Total,2021,304,2844
18,000,26900,Metro Total,2021,305,1234
18,000,26900,Metro Total,2021,306,15646
18,000,26900,Metro Total,2021,400,2936
18,000,26900,Metro Total,2021,401,21914
18,000,26900,Metro Total,2021,500,8219
18,000,26900,Metro Total,2021,501,16631
18,000,26900,Metro Total,2021,600,15334
18,000,26900,Metro Total,2021,601,474
18,000,26900,Metro Total,2021,602,3814
18,000,26900,Metro Total,2021,603,3012
18,000,26900,Metro Total,2021,604,2216
18,000,26900,Metro Total,2021,700,13813
18,000,26900,Metro Total,2021,800,9488
18,000,26900,Metro Total,2021,900,1145
18,000,26900,Metro Total,2021,901,1832
18,000,26900,Metro Total,2021,902,507
18,000,26900,Metro Total,2021,903,1266
18,000,26900,Metro Total,2021,904,2518
18,000,26900,Metro Total,2021,905,1129
18,000,26900,Metro Total,2021,906,501
18,000,26900,Metro Total,2021,907,590
18,000,26900,Metro Total,2021,908,1656
18,000,26900,Metro Total,2021,909,204
18,000,26900,Metro Total,2021,910,236
18,000,26900,Metro Total,2021,911,7383
18,000,26900,Metro Total,2021,912,9
18,001,00000,Adams,2017,100,372
18,001,00000,Adams,2017,101,174
18,001,00000,Adams,2017,102,66
18,001,00000,Adams,2017,103,132
18,001,00000,Adams,2017,300,186
18,001,00000,Adams,2017,301,186
18,001,00000,Adams,2017,302,2
18,001,00000,Adams,2017,303,2
18,001,00000,Adams,2017,304,34
18,001,00000,Adams,2017,305,9
18,001,00000,Adams,2017,306,325
18,001,00000,Adams,2017,400,21
18,001,00000,Adams,2017,401,351
18,001,00000,Adams,2017,500,86
18,001,00000,Adams,2017,501,286
18,001,00000,Adams,2017,600,141
18,001,00000,Adams,2017,601,5
18,001,00000,Adams,2017,602,125
18,001,00000,Adams,2017,603,43
18,001,00000,Adams,2017,604,58
18,001,00000,Adams,2017,700,232
18,001,00000,Adams,2017,800,161
18,001,00000,Adams,2017,900,20
18,001,00000,Adams,2017,901,28
18,001,00000,Adams,2017,902,19
18,001,00000,Adams,2017,903,37
18,001,00000,Adams,2017,904,27
18,001,00000,Adams,2017,905,11
18,001,00000,Adams,2017,906,9
18,001,00000,Adams,2017,907,10
18,001,00000,Adams,2017,908,39
18,001,00000,Adams,2017,909,3
18,001,00000,Adams,2017,910,2
18,001,00000,Adams,2017,911,113
18,001,00000,Adams,2017,912,4
18,001,00000,Adams,2018,100,307
18,001,00000,Adams,2018,101,129
18,001,00000,Adams,2018,102,60
18,001,00000,Adams,2018,103,118
18,001,00000,Adams,2018,200,0
18,001,00000,Adams,2018,201,212
18,001,00000,Adams,2018,202,19
18,001,00000,Adams,2018,203,48
18,001,00000,Adams,2018,204,28
18,001,00000,Adams,2018,300,150
18,001,00000,Adams,2018,301,157
18,001,00000,Adams,2018,302,2
18,001,00000,Adams,2018,303,1
18,001,00000,Adams,2018,304,26
18,001,00000,Adams,2018,305,5
18,001,00000,Adams,2018,306,273
18,001,00000,Adams,2018,400,33
18,001,00000,Adams,2018,401,274
18,001,00000,Adams,2018,500,85
18,001,00000,Adams,2018,501,222
18,001,00000,Adams,2018,600,0
18,001,00000,Adams,2018,601,121
18,001,00000,Adams,2018,602,100
18,001,00000,Adams,2018,603,53
18,001,00000,Adams,2018,604,33
18,001,00000,Adams,2018,700,182
18,001,00000,Adams,2018,800,130
18,001,00000,Adams,2018,900,11
18,001,00000,Adams,2018,901,28
18,001,00000,Adams,2018,902,15
18,001,00000,Adams,2018,903,20
18,001,00000,Adams,2018,904,30
18,001,00000,Adams,2018,905,12
18,001,00000,Adams,2018,906,5
18,001,00000,Adams,2018,907,9
18,001,00000,Adams,2018,908,21
18,001,00000,Adams,2018,909,1
18,001,00000,Adams,2018,910,0
18,001,00000,Adams,2018,911,107
18,001,00000,Adams,2018,912,1
18,001,00000,Adams,2019,100,325
18,001,00000,Adams,2019,101,131
18,001,00000,Adams,2019,102,41
18,001,00000,Adams,2019,103,153
18,001,00000,Adams,2019,200,242
18,001,00000,Adams,2019,201,1
18,001,00000,Adams,2019,202,16
18,001,00000,Adams,2019,203,46
18,001,00000,Adams,2019,204,20
18,001,00000,Adams,2019,300,169
18,001,00000,Adams,2019,301,156
18,001,00000,Adams,2019,302,3
18,001,00000,Adams,2019,303,2
18,001,00000,Adams,2019,304,32
18,001,00000,Adams,2019,305,7
18,001,00000,Adams,2019,306,281
18,001,00000,Adams,2019,400,25
18,001,00000,Adams,2019,401,300
18,001,00000,Adams,2019,500,96
18,001,00000,Adams,2019,501,229
18,001,00000,Adams,2019,600,212
18,001,00000,Adams,2019,601,0
18,001,00000,Adams,2019,602,63
18,001,00000,Adams,2019,603,20
18,001,00000,Adams,2019,604,30
18,001,00000,Adams,2019,700,198
18,001,00000,Adams,2019,800,159
18,001,00000,Adams,2019,900,21
18,001,00000,Adams,2019,901,24
18,001,00000,Adams,2019,902,20
18,001,00000,Adams,2019,903,27
18,001,00000,Adams,2019,904,38
18,001,00000,Adams,2019,905,18
18,001,00000,Adams,2019,906,8
18,001,00000,Adams,2019,907,3
18,001,00000,Adams,2019,908,27
18,001,00000,Adams,2019,909,5
18,001,00000,Adams,2019,910,0
18,001,00000,Adams,2019,911,127
18,001,00000,Adams,2019,912,0
18,001,00000,Adams,2020,100,328
18,001,00000,Adams,2020,101,134
18,001,00000,Adams,2020,102,51
18,001,00000,Adams,2020,103,143
18,001,00000,Adams,2020,200,0
18,001,00000,Adams,2020,201,257
18,001,00000,Adams,2020,202,13
18,001,00000,Adams,2020,203,38
18,001,00000,Adams,2020,204,20
18,001,00000,Adams,2020,300,172
18,001,00000,Adams,2020,301,156
18,001,00000,Adams,2020,302,5
18,001,00000,Adams,2020,303,0
18,001,00000,Adams,2020,304,22
18,001,00000,Adams,2020,305,6
18,001,00000,Adams,2020,306,295
18,001,00000,Adams,2020,400,2
18,001,00000,Adams,2020,401,326
18,001,00000,Adams,2020,500,80
18,001,00000,Adams,2020,501,248
18,001,00000,Adams,2020,600,0
18,001,00000,Adams,2020,601,180
18,001,00000,Adams,2020,602,70
18,001,00000,Adams,2020,603,49
