msa,cicp_initiative,new_est_type,new_est_type_desc,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage
31140,Conexus,3,Qualified - 51-100 Employees at start,3,464.25,28384011,61139.49596122779
31140,Conexus,4,Qualified - 101+ Employees at start,2,386.91666666666663,17888832,46234.3278052983
31140,Other,1,Qualified New - 1-20 or fewer Employees at start,1449,6920.25,277399621,40074.59412593476
31140,Other,2,Qualified - 21-50 Employees at start,75,1802.75,67375133,37373.53099431424
31140,Other,3,Qualified - 51-100 Employees at start,15,992.4166666666666,37671762,37959.622470400536
31140,Other,4,Qualified - 101+ Employees at start,3,152.5,3432603,22508.872131147542
31140,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,124,208.33333333333334,20443965,98131.03199999999
31140,TechPoint,2,Qualified - 21-50 Employees at start,1,14.083333333333334,1181348,83882.69822485207
31140,TechPoint,4,Qualified - 101+ Employees at start,1,152.5,4902205,32145.60655737705
31140,Total,1,Qualified New - 1-20 or fewer Employees at start,2240,9171.833333333334,422839680,46091.10214242881
31140,Total,2,Qualified - 21-50 Employees at start,89,2354.5,101223485,42991.499256742405
31140,Total,3,Qualified - 51-100 Employees at start,18,1456.6666666666667,66055773,45347.212585812355
31140,Total,4,Qualified - 101+ Employees at start,6,691.9166666666666,26223640,37899.99759123209
33140,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,192,612.9166666666666,40009120,65268.54656696125
33140,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,4,190.5,8589957,45091.637795275594
33140,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,2,275,10319128,37524.10181818182
33140,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,21,133.83333333333334,5134666,38366.122042341216
33140,AgriNovus,2,Qualified - 21-50 Employees at start,2,53.25,1997640,37514.366197183095
33140,BioX,1,Qualified New - 1-20 or fewer Employees at start,6,35.416666666666664,2839923,80186.0611764706
33140,Conexus,1,Qualified New - 1-20 or fewer Employees at start,49,216.75,11968865,55196.88581314879
33140,Conexus,2,Qualified - 21-50 Employees at start,2,62.25,4606023,73992.3373493976
33140,Other,1,Qualified New - 1-20 or fewer Employees at start,434,1451.8333333333333,51219372,35262.85822523246
33140,Other,2,Qualified - 21-50 Employees at start,25,379.9166666666667,17993438,47361.53893397675
33140,Other,3,Qualified - 51-100 Employees at start,5,189.91666666666666,6922938,36452.50372970601
33140,Other,4,Qualified - 101+ Employees at start,2,69.83333333333333,1759535,25196.20525059666
33140,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,24,37.916666666666664,3626080,95632.87912087912
33140,Total,1,Qualified New - 1-20 or fewer Employees at start,641,2100.75,92708749,44117.686540521245
33140,Total,2,Qualified - 21-50 Employees at start,29,570.4166666666666,26583395,46603.46822498174
