sector_id,sector_name,statefips,countyfips,metrofips,geo_area,year,own,disc,naics,naics_title,repunits,empl,wages
1,IT/Tech Services,0 ,000,00000,United States,2022,0,0,541513,Computer Facilities Management Services ,6188.0,83219.08,10481220539.0
1,IT/Tech Services,0 ,000,00000,United States,2022,0,0,611420,Computer Training ,3933.0,22414.83,2077907866.0
1,IT/Tech Services,0 ,000,00000,United States,2022,0,1,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,17748.0,232632.16,39554327736.0
1,IT/Tech Services,0 ,000,00000,United States,2022,0,1,541511,Custom Computer Programming Services ,180035.0,1110029.16,168758521259.0
1,IT/Tech Services,0 ,000,00000,United States,2022,0,1,541519,Other Computer Related Services,27890.0,140635.25,20397818008.0
1,IT/Tech Services,0 ,000,00000,United States,2022,0,1,811210,Electronic and Precision Equipment Repair and Maintenance ,16706.0,106553.66,7731563998.0
1,IT/Tech Services,0 ,000,00000,United States,2023,0,0,541512,Computer Systems Design Services ,173724.0,1147393.91,157296220654.0
1,IT/Tech Services,0 ,000,00000,United States,2023,0,0,541513,Computer Facilities Management Services ,6614.0,84471.08,11017979045.0
1,IT/Tech Services,0 ,000,00000,United States,2023,0,0,611420,Computer Training ,4280.0,22404.75,2225129612.0
1,IT/Tech Services,0 ,000,00000,United States,2023,0,1,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,17837.0,235216.5,42760272099.0
1,IT/Tech Services,0 ,000,00000,United States,2023,0,1,541511,Custom Computer Programming Services ,194204.0,1110093.25,182031969350.0
1,IT/Tech Services,0 ,000,00000,United States,2023,0,1,541519,Other Computer Related Services,31769.0,130681.91,17605696555.0
1,IT/Tech Services,0 ,000,00000,United States,2023,0,1,811210,Electronic and Precision Equipment Repair and Maintenance ,16479.0,106001.83,8179190571.0
1,IT/Tech Services,00,000,14020,Bloomington,2019,0,0,423430,  Computer and software merchant wholesalers,6.0,28.25,3474320.0
1,IT/Tech Services,00,000,14020,Bloomington,2019,0,0,541511,  Custom computer programming services,36.0,364.66,28084560.0
1,IT/Tech Services,00,000,14020,Bloomington,2019,0,0,611420,  Computer training,3.0,10.0,629991.0
1,IT/Tech Services,00,000,14020,Bloomington,2019,0,1,541512,  Computer systems design services,27.0,0.0,0.0
1,IT/Tech Services,00,000,14020,Bloomington,2019,0,1,541519,  Other computer related services,1.0,0.0,0.0
1,IT/Tech Services,00,000,14020,Bloomington,2019,0,1,811211,  Consumer electronics repair and maintenance,1.0,0.0,0.0
1,IT/Tech Services,00,000,14020,Bloomington,2019,0,1,811212,  Computer and office machine repair,2.0,0.0,0.0
1,IT/Tech Services,00,000,14020,Bloomington,2020,0,0,423430,  Computer and software merchant wholesalers,5.0,30.16,3909794.0
1,IT/Tech Services,00,000,14020,Bloomington,2020,0,0,541511,  Custom computer programming services,41.0,372.0,35350815.0
1,IT/Tech Services,00,000,14020,Bloomington,2020,0,0,611420,  Computer training,4.0,6.0,293041.0
1,IT/Tech Services,00,000,14020,Bloomington,2020,0,1,541512,  Computer systems design services,28.0,109.66,9757762.0
1,IT/Tech Services,00,000,14020,Bloomington,2020,0,1,541513,  Computer facilities management services,2.0,0.0,0.0
